game,Date,Opponent,Home,HOU_SCORE,OPP_SCORE,WIN,pitch_url,Youtube search,game_url,,
69,"JUNE 13, 2018",OAK,0,13,5,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530416&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_501822&view=Umpire&coloring=Pitch%20Type,"HOU AT OAK - JUNE 13, 2018",https://www.youtube.com/watch?v=qE5VHxVnyZM,,
70,"JUNE 14, 2018",OAK,0,7,3,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530429&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_433586&view=Umpire&coloring=Pitch%20Type,"HOU AT OAK - JUNE 14, 2018",https://www.youtube.com/watch?v=17Md5CBPiBU,,
71,"JUNE 15, 2018",KCA,0,7,3,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530440&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_518748&view=Umpire&coloring=Pitch%20Type,"HOU AT KCA - JUNE 15, 2018",https://www.youtube.com/watch?v=25sYJDihkQ8,,
72,"JUNE 16, 2018",KCA,0,10,2,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530455&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_518633&view=Umpire&coloring=Pitch%20Type,"HOU AT KCA - JUNE 16, 2018",missing,,
73,"JUNE 17, 2018",KCA,0,7,4,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530470&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_518748&view=Umpire&coloring=Pitch%20Type,"HOU AT KCA - JUNE 17, 2018",https://www.youtube.com/watch?v=OmvErRIecv4,,
74,"JUNE 18, 2018",TBA,1,5,4,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530487&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_501789&view=Umpire&coloring=Pitch%20Type,"TBA AT HOU - JUNE 18, 2018",https://www.youtube.com/watch?v=VdLogac8kzU,,
75,"JUNE 19, 2018",TBA,1,1,2,0,https://baseballsavant.mlb.com/gamefeed?game_pk=530502&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_434378&view=Umpire&coloring=Pitch%20Type,"TBA AT HOU - JUNE 19, 2018",https://www.youtube.com/watch?v=f_GNFAgm-3c,,
76,"JUNE 20, 2018",TBA,1,5,1,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530516&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_450203&view=Umpire&coloring=Pitch%20Type,"TBA AT HOU - JUNE 20, 2018",https://www.youtube.com/watch?v=a9vIXt6pzh4,,
77,"JUNE 22, 2018",KCA,1,0,1,0,https://baseballsavant.mlb.com/gamefeed?game_pk=530532&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_444468&view=Umpire&coloring=Pitch%20Type,"KCA AT HOU - JUNE 22, 2018",https://www.youtube.com/watch?v=cEuftFw5gPg,,
78,"JUNE 23, 2018",KCA,1,4,3,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530547&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_448609&view=Umpire&coloring=Pitch%20Type,"KCA AT HOU - JUNE 23, 2018",https://www.youtube.com/watch?v=---UiGNrDyU,,
79,"JUNE 24, 2018",KCA,1,11,3,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530562&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_448609&view=Umpire&coloring=Pitch%20Type,"KCA AT HOU - JUNE 24, 2018",https://www.youtube.com/watch?v=YtkhfsVlnXc,,
80,"JUNE 25, 2018",TOR,1,3,6,0,https://baseballsavant.mlb.com/gamefeed?game_pk=530582&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=&view=Umpire&coloring=Pitch%20Type,"TOR AT HOU - JUNE 25, 2018",https://www.youtube.com/watch?v=R7PKDLZM7_4,,
81,"JUNE 26, 2018",TOR,1,7,0,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530597&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=&view=Umpire&coloring=Pitch%20Type,"TOR AT HOU - JUNE 26, 2018",https://www.youtube.com/watch?v=FUPoZnIekDw,,
82,"JUNE 27, 2018",TOR,1,7,6,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530612&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=&view=Umpire&coloring=Pitch%20Type,"TOR AT HOU - JUNE 27, 2018",https://www.youtube.com/watch?v=KQb75NfXjlE,,
83,"JUNE 28, 2018",TBA,0,1,0,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530616&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=&view=Umpire&coloring=Pitch%20Type,"HOU AT TBA - JUNE 28, 2018",https://www.youtube.com/watch?v=kFoAQwzZ6RM,,
84,"JUNE 29, 2018",TBA,0,2,3,0,https://baseballsavant.mlb.com/gamefeed?game_pk=530629&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_475054&view=Umpire&coloring=Pitch%20Type,"HOU AT TBA - JUNE 29, 2018",https://www.youtube.com/watch?v=vTprLfKGOQc,,
85,"JUNE 30, 2018",TBA,0,2,5,0,https://baseballsavant.mlb.com/gamefeed?game_pk=530644&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=&view=Umpire&coloring=Pitch%20Type,"HOU AT TBA - JUNE 30, 2018",https://www.youtube.com/watch?v=tXODuC2nA20,,
86,"JULY 01, 2018",TBA,0,2,3,0,https://baseballsavant.mlb.com/gamefeed?game_pk=530659&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=&view=Umpire&coloring=Pitch%20Type,"HOU AT TBA - JULY 01, 2018",https://www.youtube.com/watch?v=ezooYUaOtMM,,
87,"JULY 03, 2018",TEX,0,5,3,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530684&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_445926&view=Umpire&coloring=Pitch%20Type,"HOU AT TEX - JULY 03, 2018",https://www.youtube.com/watch?v=q9QIeuwdxbQ,,
88,"JULY 04, 2018",TEX,0,5,4,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530699&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_455119&view=Umpire&coloring=Pitch%20Type,"HOU AT TEX - JULY 04, 2018",https://www.youtube.com/watch?v=Cl2CHC1CwJM,,
89,"JULY 05, 2018",CHA,1,4,3,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530710&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_434378&view=Umpire&coloring=Pitch%20Type,"CHA AT HOU - JULY 05, 2018",https://www.youtube.com/watch?v=O08d91FGOgc,,
90,"JULY 06, 2018",CHA,1,11,4,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530719&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_502748&view=Umpire&coloring=Pitch%20Type,"CHA AT HOU - JULY 06, 2018",https://www.youtube.com/watch?v=FTg3yISHvto,,
91,"JULY 07, 2018",CHA,1,12,6,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530734&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_450203&view=Umpire&coloring=Pitch%20Type,"CHA AT HOU - JULY 07, 2018",https://www.youtube.com/watch?v=v6EZpl5OcBg,,
92,"JULY 08, 2018",CHA,1,2,1,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530749&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_444468&view=Umpire&coloring=Pitch%20Type,"CHA AT HOU - JULY 08, 2018",https://www.youtube.com/watch?v=P-c4224_uhQ,,
93,"JULY 09, 2018",OAK,1,0,2,0,https://baseballsavant.mlb.com/gamefeed?game_pk=530768&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_501789&view=Umpire&coloring=Pitch%20Type,"OAK AT HOU - JULY 09, 2018",https://www.youtube.com/watch?v=tMTU5zHXsFw,,
94,"JULY 10, 2018",OAK,1,6,5,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530780&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_434378&view=Umpire&coloring=Pitch%20Type,"OAK AT HOU - JULY 10, 2018",https://www.youtube.com/watch?v=TNaMmHT2Y08,,
95,"JULY 11, 2018",OAK,1,3,8,0,https://baseballsavant.mlb.com/gamefeed?game_pk=530795&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_448609&view=Umpire&coloring=Pitch%20Type,"OAK AT HOU - JULY 11, 2018",https://www.youtube.com/watch?v=r-w9nRbHwRU,,
96,"JULY 12, 2018",OAK,1,4,6,0,https://baseballsavant.mlb.com/gamefeed?game_pk=530806&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_450203&view=Umpire&coloring=Pitch%20Type,"OAK AT HOU - JULY 12, 2018",missing,,
97,"JULY 13, 2018",DET,1,3,0,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530814&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_444468&view=Umpire&coloring=Pitch%20Type,"DET AT HOU - JULY 13, 2018",https://www.youtube.com/watch?v=1K5qed0y5Pw,,
98,"JULY 14, 2018",DET,1,9,1,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530829&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_501925&view=Umpire&coloring=Pitch%20Type,"DET AT HOU - JULY 14, 2018",https://www.youtube.com/watch?v=TGzUqpLFyNo,,
99,"JULY 15, 2018",DET,1,3,6,0,https://baseballsavant.mlb.com/gamefeed?game_pk=530844&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_434378&view=Umpire&coloring=Pitch%20Type,"DET AT HOU - JULY 15, 2018",https://www.youtube.com/watch?v=IsJi15IzSCg,,
100,"JULY 20, 2018",ANA,0,3,1,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530864&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_501625&view=Umpire&coloring=Pitch%20Type,"HOU AT ANA - JULY 20, 2018",https://www.youtube.com/watch?v=AL0Eg8RDGbU,,
101,"JULY 21, 2018",ANA,0,7,0,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530879&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_501625&view=Umpire&coloring=Pitch%20Type,"HOU AT ANA - JULY 21, 2018",https://www.youtube.com/watch?v=DQNgfpaYa00,,
102,"JULY 22, 2018",ANA,0,5,14,0,https://baseballsavant.mlb.com/gamefeed?game_pk=530894&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_462382&view=Umpire&coloring=Pitch%20Type,"HOU AT ANA - JULY 22, 2018",https://www.youtube.com/watch?v=rudLofta5jM,,
103,"JULY 24, 2018",COL,0,8,2,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530921&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_451584&view=Umpire&coloring=Pitch%20Type,"HOU AT COL - JULY 24, 2018",https://www.youtube.com/watch?v=btWxb9Uit_Q,,
104,"JULY 25, 2018",COL,0,2,3,0,https://baseballsavant.mlb.com/gamefeed?game_pk=530935&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_451584&view=Umpire&coloring=Pitch%20Type,"HOU AT COL - JULY 25, 2018",https://www.youtube.com/watch?v=tvBeQMBvPAw,,
105,"JULY 27, 2018",TEX,1,2,11,0,https://baseballsavant.mlb.com/gamefeed?game_pk=530968&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_448609&view=Umpire&coloring=Pitch%20Type,"TEX AT HOU - JULY 27, 2018",https://www.youtube.com/watch?v=cfGPiAeZZb8,,
106,"JULY 28, 2018",TEX,1,3,7,0,https://baseballsavant.mlb.com/gamefeed?game_pk=530983&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_434378&view=Umpire&coloring=Pitch%20Type,"TEX AT HOU - JULY 28, 2018",https://www.youtube.com/watch?v=179co_nU1ok,,
107,"JULY 29, 2018",TEX,1,3,4,0,https://baseballsavant.mlb.com/gamefeed?game_pk=530998&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_501925&view=Umpire&coloring=Pitch%20Type,"TEX AT HOU - JULY 29, 2018",https://www.youtube.com/watch?v=scBXJdoZiuY,,
108,"JULY 30, 2018",SEA,0,0,2,0,https://baseballsavant.mlb.com/gamefeed?game_pk=531003&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_517008&view=Umpire&coloring=Pitch%20Type,"HOU AT SEA - JULY 30, 2018",missing,,
109,"JULY 31, 2018",SEA,0,5,2,1,https://baseballsavant.mlb.com/gamefeed?game_pk=531015&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_435043&view=Umpire&coloring=Pitch%20Type,"HOU AT SEA - JULY 31, 2018",https://www.youtube.com/watch?v=XrAPQL2sThY,,
110,"AUGUST 01, 2018",SEA,0,8,3,1,https://baseballsavant.mlb.com/gamefeed?game_pk=531030&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_453281&view=Umpire&coloring=Pitch%20Type,"HOU AT SEA - AUGUST 01, 2018",https://www.youtube.com/watch?v=EORDoxbocbU,,
111,"AUGUST 03, 2018",LAN,0,2,1,1,https://baseballsavant.mlb.com/gamefeed?game_pk=531055&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_543339&view=Umpire&coloring=Pitch%20Type,"HOU AT LAN - AUGUST 03, 2018",https://www.youtube.com/watch?v=YjBdQUqzdfU,,
112,"AUGUST 04, 2018",LAN,0,14,0,1,https://baseballsavant.mlb.com/gamefeed?game_pk=531070&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_446099&view=Umpire&coloring=Pitch%20Type,"HOU AT LAN - AUGUST 04, 2018",https://www.youtube.com/watch?v=HGdKQdifZSk,,
113,"AUGUST 05, 2018",LAN,0,2,3,0,https://baseballsavant.mlb.com/gamefeed?game_pk=531085&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_445276&view=Umpire&coloring=Pitch%20Type,"HOU AT LAN - AUGUST 05, 2018",https://www.youtube.com/watch?v=eIaP8kosr_s,,
114,"AUGUST 06, 2018",SFN,0,3,1,1,https://baseballsavant.mlb.com/gamefeed?game_pk=531097&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_519293&view=Umpire&coloring=Pitch%20Type,"HOU AT SFN - AUGUST 06, 2018",https://www.youtube.com/watch?v=mSTrokOVdIA,,
115,"AUGUST 07, 2018",SFN,0,2,1,1,https://baseballsavant.mlb.com/gamefeed?game_pk=531110&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_453265&view=Umpire&coloring=Pitch%20Type,"HOU AT SFN - AUGUST 07, 2018",https://www.youtube.com/watch?v=Rrm_J3Wequg,,
116,"AUGUST 09, 2018",SEA,1,6,8,0,https://baseballsavant.mlb.com/gamefeed?game_pk=531140&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_434378&view=Umpire&coloring=Pitch%20Type,"SEA AT HOU - AUGUST 09, 2018",https://www.youtube.com/watch?v=0aqSFxOfgcc,,
117,"AUGUST 10, 2018",SEA,1,2,5,0,https://baseballsavant.mlb.com/gamefeed?game_pk=531152&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_519151&view=Umpire&coloring=Pitch%20Type,"SEA AT HOU - AUGUST 10, 2018",https://www.youtube.com/watch?v=_cakDqr1vgo,,
118,"AUGUST 11, 2018",SEA,1,2,3,0,https://baseballsavant.mlb.com/gamefeed?game_pk=531167&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_444468&view=Umpire&coloring=Pitch%20Type,"SEA AT HOU - AUGUST 11, 2018",https://www.youtube.com/watch?v=Mpcdktf3gmc,,
119,"AUGUST 12, 2018",SEA,1,3,4,0,https://baseballsavant.mlb.com/gamefeed?game_pk=531182&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_444468&view=Umpire&coloring=Pitch%20Type,"SEA AT HOU - AUGUST 12, 2018",https://www.youtube.com/watch?v=F3jMjLS9mvU,,
120,"AUGUST 14, 2018",COL,1,1,5,0,https://baseballsavant.mlb.com/gamefeed?game_pk=531199&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_434378&view=Umpire&coloring=Pitch%20Type,"COL AT HOU - AUGUST 14, 2018",https://www.youtube.com/watch?v=jawmmuSJNNI,,
121,"AUGUST 15, 2018",COL,1,12,1,1,https://baseballsavant.mlb.com/gamefeed?game_pk=531214&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_501789&view=Umpire&coloring=Pitch%20Type,"COL AT HOU - AUGUST 15, 2018",https://www.youtube.com/watch?v=IlKM7oBWfc8,,
122,"AUGUST 17, 2018",OAK,0,3,4,0,https://baseballsavant.mlb.com/gamefeed?game_pk=531239&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_407845&view=Umpire&coloring=Pitch%20Type,"HOU AT OAK - AUGUST 17, 2018",missing,,
123,"AUGUST 18, 2018",OAK,0,1,7,0,https://baseballsavant.mlb.com/gamefeed?game_pk=531254&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_433589&view=Umpire&coloring=Pitch%20Type,"HOU AT OAK - AUGUST 18, 2018",missing,,
124,"AUGUST 19, 2018",OAK,0,9,4,1,https://baseballsavant.mlb.com/gamefeed?game_pk=531269&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_488748&view=Umpire&coloring=Pitch%20Type,"HOU AT OAK - AUGUST 19, 2018",https://www.youtube.com/watch?v=ZbE7UYFIFMI,,
125,"AUGUST 20, 2018",SEA,0,4,7,0,https://baseballsavant.mlb.com/gamefeed?game_pk=531283&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_433587&view=Umpire&coloring=Pitch%20Type,"HOU AT SEA - AUGUST 20, 2018",https://www.youtube.com/watch?v=k1HUYQz3WUs,,
126,"AUGUST 21, 2018",SEA,0,3,2,1,https://baseballsavant.mlb.com/gamefeed?game_pk=531293&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_435043&view=Umpire&coloring=Pitch%20Type,"HOU AT SEA - AUGUST 21, 2018",https://www.youtube.com/watch?v=VVhb6JfmD4Q,,
127,"AUGUST 22, 2018",SEA,0,10,7,1,https://baseballsavant.mlb.com/gamefeed?game_pk=531308&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_435043&view=Umpire&coloring=Pitch%20Type,"HOU AT SEA - AUGUST 22, 2018",https://www.youtube.com/watch?v=dVSrAhxZRxY,,
128,"AUGUST 24, 2018",ANA,0,9,3,1,https://baseballsavant.mlb.com/gamefeed?game_pk=531332&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_571760&view=Umpire&coloring=Pitch%20Type,"HOU AT ANA - AUGUST 24, 2018",https://www.youtube.com/watch?v=CPRjfCFWRiQ,,
129,"AUGUST 25, 2018",ANA,0,8,3,1,https://baseballsavant.mlb.com/gamefeed?game_pk=531347&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_453284&view=Umpire&coloring=Pitch%20Type,"HOU AT ANA - AUGUST 25, 2018",https://www.youtube.com/watch?v=TGRLzirOFhk,,
130,"AUGUST 26, 2018",ANA,0,3,1,1,https://baseballsavant.mlb.com/gamefeed?game_pk=531362&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_453284&view=Umpire&coloring=Pitch%20Type,"HOU AT ANA - AUGUST 26, 2018",https://www.youtube.com/watch?v=KuKZC_nAFjk,,
131,"AUGUST 27, 2018",OAK,1,11,4,1,https://baseballsavant.mlb.com/gamefeed?game_pk=531376&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_501925&view=Umpire&coloring=Pitch%20Type,"OAK AT HOU - AUGUST 27, 2018",https://www.youtube.com/watch?v=KCeaqI4vFFw,,
132,"AUGUST 28, 2018",OAK,1,3,4,0,https://baseballsavant.mlb.com/gamefeed?game_pk=531388&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_444468&view=Umpire&coloring=Pitch%20Type,"OAK AT HOU - AUGUST 28, 2018",https://www.youtube.com/watch?v=IaErvte2IcE,,
133,"AUGUST 29, 2018",OAK,1,5,4,1,https://baseballsavant.mlb.com/gamefeed?game_pk=531402&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_448609&view=Umpire&coloring=Pitch%20Type,"OAK AT HOU - AUGUST 29, 2018",missing,,
134,"AUGUST 30, 2018",ANA,1,2,5,0,https://baseballsavant.mlb.com/gamefeed?game_pk=531412&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_434378&view=Umpire&coloring=Pitch%20Type,"ANA AT HOU - AUGUST 30, 2018",https://www.youtube.com/watch?v=G8KZ0xiA5Mw,,
135,"AUGUST 31, 2018",ANA,1,0,3,0,https://baseballsavant.mlb.com/gamefeed?game_pk=531424&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_444468&view=Umpire&coloring=Pitch%20Type,"ANA AT HOU - AUGUST 31, 2018",https://www.youtube.com/watch?v=5JDE7RoamFs,,
136,"SEPTEMBER 01, 2018",ANA,1,7,3,1,https://baseballsavant.mlb.com/gamefeed?game_pk=531439&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_448609&view=Umpire&coloring=Pitch%20Type,"ANA AT HOU - SEPTEMBER 01, 2018",https://www.youtube.com/watch?v=9xN1ekiilXs,,
137,"SEPTEMBER 02, 2018",ANA,1,4,2,1,https://baseballsavant.mlb.com/gamefeed?game_pk=531454&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_444468&view=Umpire&coloring=Pitch%20Type,"ANA AT HOU - SEPTEMBER 02, 2018",https://www.youtube.com/watch?v=T_VjvsgwC6M,,
138,"SEPTEMBER 03, 2018",MIN,1,4,1,1,https://baseballsavant.mlb.com/gamefeed?game_pk=531469&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_444468&view=Umpire&coloring=Pitch%20Type,"MIN AT HOU - SEPTEMBER 03, 2018",https://www.youtube.com/watch?v=okyMyTbaaeQ,,
139,"SEPTEMBER 04, 2018",MIN,1,5,2,1,https://baseballsavant.mlb.com/gamefeed?game_pk=531484&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_434378&view=Umpire&coloring=Pitch%20Type,"MIN AT HOU - SEPTEMBER 04, 2018",https://www.youtube.com/watch?v=_Glmjqh-jYU,,
