Calibrated,RIXS
11564.1,2.633406531501283e-07
11564.35,1.843137104663054e-07
11564.6,2.802915779855257e-07
11564.85,2.7276168260860384e-07
11565.1,3.033715072851497e-07
11565.35,3.4043027168653737e-07
11565.6,3.396281774487265e-07
11565.85,4.83146503020749e-07
11566.1,3.368734731942161e-07
11566.15,3.0555623456941016e-07
11566.35,3.037710411421227e-07
11566.4,4.460424763902675e-07
11566.6,4.806932179666291e-07
11566.85,3.692400024536801e-07
11567.1,4.972157878573885e-07
11567.35,4.1761041881135155e-07
11567.6,5.658260576550082e-07
11567.85,4.96329521870682e-07
11568.1,4.86663474154276e-07
11568.35,4.433583078162838e-07
11568.6,5.595179993757227e-07
11568.85,5.620017302508552e-07
11569.1,5.363157239166721e-07
11569.35,6.313424458450742e-07
11569.6,6.11444634492879e-07
11569.85,4.82460409138006e-07
11569.9,5.818795570261183e-07
11570.1,6.261310728287982e-07
11570.15,5.36375014897816e-07
11570.35,7.373584592815346e-07
11570.6,7.199806736114598e-07
11570.85,5.387604405917296e-07
11571.1,8.640232917466538e-07
11571.35,9.547085832933113e-07
11571.6,9.312113033369693e-07
11571.85,1.1149647882585749e-06
11572.1,1.0833432095256615e-06
11572.35,1.0023424285019787e-06
11572.6,1.172834984221574e-06
11572.85,1.1249879272745676e-06
11573.1,9.977085568885205e-07
11573.35,1.2967595686307157e-06
11573.6,1.3925764030713651e-06
11573.85,1.2475509016362249e-06
11574.1,1.441954911398037e-06
11574.35,1.4596147534523016e-06
11574.6,1.4777780088133984e-06
11574.8,1.4831031766358769e-06
11575.35,1.5598253173910272e-06
11575.6,1.3845829213627847e-06
11575.85,1.077033144187166e-06
11576.1,1.2865874217038034e-06
11576.35,1.0039193883293707e-06
11576.6,9.561752988047808e-07
11576.8,7.76545370468053e-07
11577.05,9.488263776769242e-07
11577.3,1.136990891318798e-06
11577.55,6.472927292300463e-07
11577.75,7.019836627342172e-07
11578.05,6.478211638201754e-07
11578.55,4.5887519875914496e-07
11578.8,2.3930426183113433e-07
11579.05,1.721616356732682e-07
11579.3,4.4141083377562715e-07
11579.8,2.6273174872088275e-07
11580.05,3.2898387408778247e-07
11580.25,3.6796918559136366e-07
11580.5,1.8257306501032488e-07
11580.75,1.6448788752318252e-07
11581.25,1.6323681630095908e-07
11581.5,1.7352374672473927e-07
