Calibrated,RIXS
11550.35,5.010199315485475e-07
11550.6,1.650088491605663e-06
11550.85,7.802576098524689e-07
11551.1,1.1332574692365026e-06
11551.35,1.0726343120444212e-06
11551.6,9.945828122991859e-07
11551.85,1.0020374988926636e-06
11552.1,4.837927664009267e-07
11552.35,1.6439423922661438e-06
11552.4,3.6196661633607048e-06
11552.6,3.2419089468022194e-07
11552.65,7.101170517444894e-06
11552.85,1.2877686774903099e-06
11553.1,2.6024784526832628e-06
11553.35,7.998754397249665e-07
11553.6,2.0633712268622686e-06
11553.85,2.2115688423788202e-06
11554.1,2.791225043350682e-06
11554.35,5.061823073822772e-06
11554.6,1.152067551447963e-06
11554.85,2.1763662517611808e-06
11555.1,2.194402480346984e-06
11555.35,1.768151977967317e-06
11555.6,4.72932310380746e-06
11555.85,5.151081709452141e-06
11556.1,1.003921697840098e-05
11556.15,2.6993825699180343e-06
11556.35,1.0565150362889804e-06
11556.4,5.814443258083239e-06
11556.6,1.8012373147985507e-06
11556.85,2.58521583650462e-06
11557.1,9.625908550769695e-07
11557.35,1.1875163544349187e-06
11557.6,1.5251408936913386e-06
11557.85,1.944748580224268e-06
11558.1,3.2278182599984563e-06
11558.35,1.1356913532297622e-06
11558.6,2.154930839487394e-06
11558.85,2.4922948297323307e-06
11559.1,3.275504898283074e-06
11559.35,3.426266203106555e-06
11559.6,1.2659785482466957e-06
11559.85,4.461976743037987e-06
11559.95,3.119086484166042e-05
11560.1,1.1379287625491258e-06
11560.35,3.561224081368515e-06
11560.45,2.974392635682881e-05
11560.6,1.14300579892562e-06
11560.85,2.8479548124503095e-06
11561.05,7.826105245789433e-07
11561.2,1.7950231967770932e-05
11561.45,2.700206915727361e-05
11561.6,1.5395678457365985e-06
11561.85,2.7968117064959903e-06
11562.1,6.6351114125223e-06
11562.2,2.139175173344132e-05
11562.35,1.709093849467424e-06
11562.6,2.495629869051832e-06
11562.85,2.7604439006134025e-06
11563.05,1.1721914828736327e-06
11563.3,1.4591147876963984e-06
11563.55,1.0210980935011619e-06
11563.8,2.2769414373508487e-06
11564.3,1.1899525446925177e-06
11564.8,1.0460569102208022e-06
11565.05,1.7049550700010226e-06
11565.3,2.4950112679870955e-06
11565.55,1.817638291391771e-06
11566.05,1.5732339234580053e-06
11566.3,6.461329272844194e-06
11567.1,2.0733474352613093e-05
11567.35,2.0761568369645694e-05
