Calibrated,RIXS
11557.35,3.8390573943846174e-07
11557.6,2.6380880341123754e-07
11557.85,3.9122098906559404e-07
11558.1,2.97494858427677e-07
11558.5,2.027997409030511e-07
11558.6,2.727265924603745e-07
11558.85,4.6022612477688206e-07
11558.9,3.8822771910973954e-07
11559.1,4.5624179095919503e-07
11559.15,2.2649642548194798e-07
11559.35,5.296158225669301e-07
11559.6,4.1343600878799576e-07
11559.85,3.5974945435503233e-07
11560.1,3.0629733785054195e-07
11560.4,6.563400227770989e-07
11560.65,4.203963707181315e-07
11560.85,3.851747940251864e-07
11561.1,8.187491700926806e-07
11561.35,7.325718665750579e-07
11561.6,6.056829036077565e-07
11561.7,5.276499454179111e-07
11561.85,1.0111435603932035e-06
11562.1,8.534804586298506e-07
11562.35,9.160420294266977e-07
11562.4,4.6967454412980326e-07
11562.6,8.727089886506502e-07
11562.65,6.940216525774148e-07
11562.85,7.592824394073771e-07
11563.1,3.548993745737376e-07
11563.35,1.2559581165731406e-06
11563.6,9.812409828156608e-07
11563.85,1.3600895784784555e-06
11564.1,1.695402449612819e-06
11564.35,1.8347186635344727e-06
11564.6,2.286305997750756e-06
11564.85,2.0179188156857345e-06
11565.1,2.1197534257227956e-06
11565.35,2.1740212353269224e-06
11565.6,1.742856110455249e-06
11565.85,2.714276315597577e-06
11566.1,2.8560496952824175e-06
11566.35,2.86438721554817e-06
11566.6,3.774005625576788e-06
11566.85,3.933490013122631e-06
11566.95,1.9353440267541958e-06
11567.1,2.9625765056896284e-06
11567.35,3.428179426557125e-06
11567.6,2.8763368006574657e-06
11567.85,3.239846989164315e-06
11568.1,3.5932215182683884e-06
11568.35,3.603344295114605e-06
11568.6,3.1346485170552424e-06
11568.85,2.9722551055810184e-06
11569.1,2.7285340256055196e-06
11569.35,2.565705468348759e-06
11569.6,2.301188423395308e-06
11569.85,1.7310437394805802e-06
11570.05,2.3979929281627725e-06
11570.3,1.5779926678475631e-06
11570.55,2.0316976548460844e-06
11570.8,9.748512742524722e-07
11571.05,1.24546164606276e-06
11571.3,9.302033010212299e-07
11571.55,1.0071987516375794e-06
11571.8,7.305692786710088e-07
11572.05,5.071957552449113e-07
11572.15,3.7421596717354493e-07
11572.4,5.7563977107842456e-08
11572.55,5.672865690650125e-07
11572.8,5.296870461795879e-07
11572.9,2.479734947330817e-07
11573.15,2.479734947330817e-07
11573.25,1.0871127351125893e-07
11573.5,6.035809552704764e-07
11573.75,3.110842578299999e-07
11574.0,5.139953593561841e-07
11574.25,3.773532143661785e-07
11574.5,4.388252334394343e-07
11574.75,4.906565538657801e-07
