Calibrated,RIXS
11552.35,1.6252333733547053e-05
11552.6,8.963280686401963e-06
11552.85,1.9389406832340287e-05
11553.1,1.5093014431919465e-05
11553.35,1.4287377111753102e-05
11553.6,1.47336620481866e-05
11553.85,1.1749559298141094e-05
11554.1,1.8638935299364508e-05
11554.35,1.0238833046851667e-05
11554.4,7.77888598832274e-06
11554.6,1.3219522866366553e-05
11554.65,3.92891995637252e-06
11554.85,1.0977744932289272e-05
11555.1,8.565922916882857e-06
11555.35,3.302755443815271e-05
11555.6,1.8752966468851146e-05
11555.85,1.629994253305873e-05
11556.1,2.9744721562867113e-05
11556.35,2.9879803988485833e-05
11556.6,1.9122830974809746e-05
11556.85,1.3193895637783824e-05
11557.1,1.2709191061004067e-05
11557.35,1.3074035436024475e-05
11557.6,9.218973839285305e-06
11557.85,1.8950583099451017e-05
11558.1,9.713536237311853e-06
11558.15,9.543724651207553e-06
11558.35,1.4557097585770487e-05
11558.4,4.6669756695820515e-06
11558.6,1.307073344583748e-05
11558.85,1.032049878214598e-05
11559.1,2.004199149243276e-05
11559.35,1.603148936744946e-05
11559.6,1.7141520393966516e-05
11559.85,1.5747855237951283e-05
11560.1,9.847740847467343e-06
11560.35,1.614058317165935e-05
11560.6,1.9386406896198017e-05
11560.85,1.97406401518262e-05
11561.1,1.7295775446499994e-05
11561.35,1.232959472622135e-05
11561.6,3.438855629760666e-05
11561.85,2.269088342245773e-05
11561.95,5.577870134911945e-07
11562.1,9.839985455478825e-05
11562.35,5.5914586820152014e-05
11562.45,4.115663309108539e-07
11562.6,1.3318798424806649e-05
11562.85,7.843834944467583e-06
11563.05,1.6403137315842408e-05
11563.2,5.51296149620893e-07
11563.45,2.9774936533031024e-07
11563.6,1.2886730373914245e-05
11563.85,1.697193698973627e-05
11564.1,1.390905193259598e-05
11564.2,9.06251954105776e-07
11564.35,1.82058969487504e-05
11564.6,8.882306649583627e-06
11564.85,5.226828434795713e-06
11565.05,1.0676650872557403e-05
11565.3,6.956077163399882e-06
11565.55,1.0546974488481198e-05
11565.8,1.0943374787768381e-05
11566.0,1.1932057946275196e-05
11566.3,5.1512576891688495e-06
11566.8,6.719379730767845e-06
11567.05,6.42940732461276e-06
11567.3,6.534290538115161e-06
11567.55,1.1312689613100727e-05
11568.05,5.366071302597618e-06
11568.3,2.0432601448140085e-05
11568.5,1.9241209930744518e-05
11568.75,1.2475935175913775e-05
11569.0,1.3742010378542516e-05
11569.1,3.3650503181912407e-07
11569.35,1.3861640863420223e-07
11569.5,1.5958875399251455e-05
11569.75,8.053780302348388e-06
