Calibrated,RIXS
11562.6,2.1146751317112192e-07
11562.85,2.36244965422596e-07
11563.1,2.5542414171180904e-07
11563.35,2.9701547903985217e-07
11563.75,2.4933226481991246e-07
11563.85,2.5547484726649155e-07
11564.1,2.893435781384247e-07
11564.15,4.844433766594728e-07
11564.35,3.6764072242754867e-07
11564.4,4.853494831756028e-07
11564.6,3.3827485237685454e-07
11564.85,3.83801996904076e-07
11565.1,3.7644321846717803e-07
11565.35,2.9002024856926564e-07
11565.65,4.984167921758847e-07
11565.9,5.512515858819061e-07
11566.1,4.2846825214990226e-07
11566.35,6.608339792228552e-07
11566.6,5.590544458890173e-07
11566.85,4.892426107242288e-07
11566.95,6.920756986467102e-07
11567.1,7.072344782870173e-07
11567.35,6.897344575369667e-07
11567.6,7.228072535625545e-07
11567.65,7.146260804789023e-07
11567.85,7.574455373194322e-07
11567.9,8.983870726020486e-07
11568.1,8.528962828303994e-07
11568.35,7.102766637375287e-07
11568.6,9.096492683509005e-07
11568.85,8.521691431522547e-07
11569.1,9.166276747149094e-07
11569.35,6.855019787050982e-07
11569.6,1.0594890381026166e-06
11569.85,9.618805919829977e-07
11570.1,1.137321825146758e-06
11570.35,9.82447138857063e-07
11570.6,1.084448188616274e-06
11570.85,1.1033462543799614e-06
11571.1,1.2754312901274978e-06
11571.35,9.882593936220353e-07
11571.6,1.1716751837610278e-06
11571.85,1.2564449499272777e-06
11572.1,1.4927231335244018e-06
11572.2,1.0742430183806886e-06
11572.35,1.5597580594601078e-06
11572.6,1.4740706514318652e-06
11572.85,1.395293225495227e-06
11573.1,1.3200815940954261e-06
11573.35,1.4864865306351806e-06
11573.6,1.0472900987861143e-06
11573.85,1.5487331638337498e-06
11574.1,1.6037002173761517e-06
11574.35,1.3607522346944386e-06
11574.6,1.4926608441081241e-06
11574.85,1.303881602453918e-06
11575.1,9.200147202355238e-07
11575.3,1.0349837552919569e-06
11575.55,8.936813024092981e-07
11575.8,1.0082653127525779e-06
11576.05,8.986067820729383e-07
11576.3,5.688086927619663e-07
11576.55,7.558098045053998e-07
11576.8,5.885531721805242e-07
11577.05,7.787463967050248e-07
11577.3,2.537668302391262e-07
11577.4,3.171114948160198e-07
11577.65,4.890973018803488e-07
11577.8,5.139651418207055e-07
11578.05,4.475301254020631e-07
11578.15,1.8617991169952238e-07
11578.4,1.2408661587025938e-07
11578.5,2.173356475233081e-07
11578.75,3.1894052121864293e-07
11579.0,3.477292002118586e-07
11579.25,1.2861907668958385e-07
11579.5,2.784600047895121e-07
11579.75,2.538877484712841e-07
11580.0,2.693218633904453e-07
