Calibrated,RIXS
11552.6,8.963280686401963e-06
11552.85,5.769485983423278e-06
11553.1,1.156186792976563e-05
11553.35,9.289739903115971e-06
11553.6,8.326531994240247e-06
11553.85,8.611936055848568e-06
11554.1,5.962873417303049e-06
11554.35,1.0238833046851667e-05
11554.6,5.023932427580014e-06
11554.65,3.92891995637252e-06
11554.85,8.007603666731826e-06
11554.9,2.20881269268366e-06
11555.1,6.266076548977308e-06
11555.35,4.404677388005089e-06
11555.6,1.964284276570492e-05
11555.85,1.0644919021738805e-05
11556.1,9.257480098553948e-06
11556.35,1.836627251143523e-05
11556.6,1.68752699884397e-05
11556.85,1.0837174527910312e-05
11557.1,7.44092864514298e-06
11557.35,6.905376207085423e-06
11557.6,7.003031872103388e-06
11557.85,4.708306357387602e-06
11558.1,9.713536237311853e-06
11558.35,5.470086174128738e-06
11558.4,4.6669756695820515e-06
11558.6,9.601250181755626e-06
11558.65,1.7054414922483998e-06
11558.85,7.501568237512449e-06
11559.1,4.834336176819555e-06
11559.35,1.3741907249877905e-05
11559.6,8.249001397916256e-06
11559.85,9.48551080114386e-06
11560.1,8.41462163339399e-06
11560.35,5.4010864064265606e-06
11560.6,1.0865176997521466e-05
11560.85,1.1715529002538515e-05
11561.1,1.1428970533465231e-05
11561.35,9.910200713370944e-06
11561.6,6.551818824020885e-06
11561.85,2.269088342245773e-05
11562.1,1.3227704103474315e-05
11562.2,2.7889350674559725e-07
11562.35,5.5914586820152014e-05
11562.6,2.7324035529193626e-05
11562.7,4.428691798606885e-07
11562.85,7.843834944467583e-06
11563.1,3.6185493232250038e-06
11563.3,9.914763155600483e-06
11563.45,5.507773175360117e-07
11563.7,4.873562131642464e-07
11563.85,7.56313560627119e-06
11564.1,9.170639092093173e-06
11564.35,6.337888690829867e-06
11564.45,7.643993572930204e-07
11564.6,9.204582934284348e-06
11564.85,4.9638224833136454e-06
11565.1,2.90642891458815e-06
11565.3,5.838232889309868e-06
11565.55,4.4469528836716415e-06
11565.8,4.949992983672736e-06
11566.05,5.3272530239595775e-06
11566.25,6.6510919813977304e-06
11566.55,3.724359098997452e-06
11567.05,3.567802255874421e-06
11567.3,3.1371173288018816e-06
11567.55,3.2406468193395607e-06
11567.8,5.272208163000454e-06
11568.3,2.8680725927676924e-06
11568.55,8.878983402439591e-06
11568.75,1.1692510036975893e-05
11569.0,8.646679911559938e-06
11569.25,6.999357776605063e-06
11569.35,1.3861640863420223e-07
11569.6,2.5708714099165073e-07
11569.75,9.11549209587754e-06
11570.0,4.4872453211777435e-06
