Calibrated,RIXS
11563.6,1.7149378127931143e-07
11563.85,2.1072910928414237e-07
11564.1,2.805167117831045e-07
11564.35,2.813714055890126e-07
11564.6,2.7443408700490925e-07
11564.85,2.2954344073800267e-07
11565.1,3.394006056332287e-07
11565.35,3.6660774742474187e-07
11565.6,3.370085828759785e-07
11565.65,3.0514598183771117e-07
11565.85,3.921719036910513e-07
11565.9,1.4081770022164704e-07
11566.1,5.036474517821441e-07
11566.35,2.886221863104957e-07
11566.6,4.703539129676195e-07
11566.85,5.57715711715523e-07
11567.1,5.082150330643701e-07
11567.35,4.782752480947582e-07
11567.6,8.243270320929538e-07
11567.85,4.928181285579825e-07
11568.1,5.267358573777434e-07
11568.35,6.277664534448195e-07
11568.6,6.686753803418355e-07
11568.85,6.512718219308863e-07
11569.1,6.749013197855999e-07
11569.35,6.432805455173416e-07
11569.4,7.350057562435179e-07
11569.6,7.741146343868111e-07
11569.65,6.130000170260753e-07
11569.85,7.401515755168243e-07
11570.1,7.720396573610797e-07
11570.35,5.158196977568547e-07
11570.6,8.622197045882899e-07
11570.85,9.183488858434173e-07
11571.1,1.1111112469676853e-06
11571.35,8.842824182740423e-07
11571.6,1.1014240483618778e-06
11571.85,1.175146367799829e-06
11572.1,1.2058380465412192e-06
11572.35,1.2243673824369148e-06
11572.6,1.2721010431815678e-06
11572.85,1.6453313596107098e-06
11573.1,1.4535390769445447e-06
11573.35,1.9697757607273988e-06
11573.6,1.7242445937589737e-06
11573.85,1.7028838790276854e-06
11574.1,1.35481549627543e-06
11574.3,1.5631273880434432e-06
11574.85,1.5984113652470527e-06
11575.1,1.5630794080703852e-06
11575.35,1.57943846798489e-06
11575.6,1.270937498019916e-06
11575.85,1.1991948185107701e-06
11576.1,8.094454051632531e-07
11576.3,1.073907319085334e-06
11576.55,1.1361716922065444e-06
11576.8,1.0540367416786188e-06
11577.05,6.733653047180014e-07
11577.25,6.60691035361101e-07
11577.55,7.354630990495785e-07
11578.05,6.464396636195967e-07
11578.3,4.099599216347945e-07
11578.55,4.300595821747528e-07
11578.8,4.064247626479385e-07
11579.3,1.7000289623115946e-07
11579.55,2.1964741757236447e-07
11579.75,2.1732035542978167e-07
11580.0,2.1873525815499725e-07
11580.25,2.560743347211648e-07
11580.35,3.95835431261119e-08
11580.6,2.577747236099756e-07
11580.75,3.0315408741606683e-07
11581.0,2.0518292057369144e-07
