Calibrated,RIXS
11559.6,1.0583359960405537e-07
11559.85,1.1009982687839457e-07
11560.1,1.277883341571593e-07
11560.35,2.3511734628380576e-07
11560.75,3.277753558820927e-07
11560.85,3.578573119629808e-07
11561.1,2.2141153429762602e-07
11561.15,3.3997174025381973e-07
11561.35,2.0621082252135625e-07
11561.4,2.752152183007112e-07
11561.6,3.674927983171299e-07
11561.85,2.655667560466009e-07
11562.1,3.2051576359152636e-07
11562.35,3.865896309509071e-07
11562.65,2.8929469073365307e-07
11562.9,4.336503299724206e-07
11563.1,2.668026648783773e-07
11563.35,3.5401513030655875e-07
11563.6,6.075674674491039e-07
11563.85,4.3791909501391494e-07
11563.95,5.77194666041845e-07
11564.1,5.902273859436167e-07
11564.35,4.5513919403919335e-07
11564.6,7.373612665837345e-07
11564.65,6.323596463485839e-07
11564.85,4.93920090644215e-07
11564.9,5.713937047514856e-07
11565.1,6.679658274489423e-07
11565.35,3.229400044643226e-07
11565.6,7.940889605951221e-07
11565.85,7.934881080600209e-07
11566.1,9.087355491652673e-07
11566.35,1.1969765602169156e-06
11566.6,9.649225244877328e-07
11566.85,1.5632655993063269e-06
11567.1,1.4206042598313536e-06
11567.35,1.2786612999558913e-06
11567.6,1.4416884757355402e-06
11567.85,1.2424320787403757e-06
11568.1,1.6805552068459748e-06
11568.35,1.8027141908988275e-06
11568.6,1.5559865206263663e-06
11568.85,1.6614647269414105e-06
11569.1,1.5865106487863956e-06
11569.2,1.594237631335086e-06
11569.35,1.3857771915919165e-06
11569.6,1.3420320563935174e-06
11569.85,1.2156238936507799e-06
11570.1,1.2196260874710304e-06
11570.35,1.1281759071494878e-06
11570.6,1.2090458966456215e-06
11570.85,1.1972387769492753e-06
11571.1,1.1164852776289792e-06
11571.35,1.0511128143062525e-06
11571.6,9.708256599305528e-07
11571.85,9.311327082564948e-07
11572.1,8.657533545944599e-07
11572.3,9.348588113899118e-07
11572.55,6.464066350218933e-07
11572.8,6.78050136184716e-07
11573.05,6.419474776034795e-07
11573.3,5.014962343461001e-07
11573.55,5.44446772881324e-07
11573.8,5.539593134006686e-07
11574.05,3.7706801479794e-07
11574.3,3.042364314608053e-07
11574.4,5.175905744686028e-07
11574.65,3.4533761413839816e-07
11574.8,3.366904919491101e-07
11575.05,3.178122277077528e-07
11575.15,2.636840587243012e-07
11575.4,2.480400380028343e-07
11575.5,4.889400670304237e-07
11575.75,3.1876978218158787e-07
11576.0,1.8296611789516949e-07
11576.25,1.1002431537369759e-07
11576.5,3.579239836271253e-07
11576.75,1.1578855980776697e-07
11577.0,1.4242962789468436e-07
