Calibrated,RIXS
11550.6,1.7994139308827115e-06
11550.85,2.608106961272846e-06
11551.1,2.8799035872416756e-06
11551.35,4.6528175630233536e-06
11551.75,1.7971298554776294e-05
11551.85,8.021060916715106e-07
11552.1,2.640261867644933e-06
11552.15,4.937024768875209e-06
11552.35,1.8845962758964142e-06
11552.4,8.693563072204817e-06
11552.6,4.080028417029691e-06
11552.85,1.4978504466491488e-06
11553.1,2.852074155772581e-06
11553.35,6.451839341974324e-06
11553.65,7.522674023385941e-06
11553.9,1.575384396749116e-05
11554.1,3.5846075057711443e-06
11554.35,6.42326363088298e-06
11554.6,6.755898826756892e-06
11554.85,8.599220014700032e-06
11554.95,2.7886748007907435e-05
11555.1,3.156426975848642e-06
11555.35,4.5789244511602326e-06
11555.6,4.776760889680146e-06
11555.65,8.399653811640277e-06
11555.85,1.137539018412635e-06
11555.9,1.2599530162090812e-05
11556.1,3.92926885100483e-06
11556.35,9.278376378533962e-06
11556.6,2.848163006065163e-06
11556.85,4.533467796306307e-06
11557.1,3.33521843030968e-06
11557.35,2.9751689282781375e-06
11557.6,4.499971421647464e-06
11557.85,2.147936712068562e-06
11558.1,4.502395215531507e-06
11558.35,4.8647818493378434e-06
11558.6,4.203738904327141e-06
11558.85,6.105342826899975e-06
11559.1,4.478931269441803e-06
11559.35,6.404203476843781e-06
11559.6,4.6286579265276764e-06
11559.85,5.733483823799876e-06
11560.1,7.936816338514233e-06
11560.2,3.114651004421917e-05
11560.35,4.2775291318745116e-06
11560.6,6.071877619070961e-06
11560.85,4.092300416206843e-06
11561.1,4.620627629702321e-06
11561.35,5.2939662673044475e-06
11561.6,2.2698744532439913e-06
11561.85,4.6907727266424275e-06
11562.1,7.2430145585146255e-06
11562.35,1.0469997486381079e-05
11562.6,7.704446790414718e-06
11562.85,5.005567970564572e-06
11563.1,5.155251669528918e-06
11563.3,2.861618963478545e-06
11563.55,4.258679007203061e-06
11563.8,2.329643497464373e-06
11564.05,4.77754863719776e-06
11564.3,2.827093806543567e-06
11564.55,3.477901623863885e-06
11564.8,3.7454203838004488e-06
11565.05,2.580559226273402e-06
11565.3,4.209451347640448e-06
11565.4,1.4548099654482632e-05
11565.65,9.737532984815823e-06
11565.8,5.381980774289995e-06
11566.05,2.19996984747209e-06
11566.15,1.3347654545027526e-05
11566.4,9.100818261070435e-06
11566.5,5.8842835296374325e-06
11566.75,2.3991620448403717e-06
11567.0,3.6327162498480735e-06
11567.25,2.199312714776632e-06
11567.5,3.0817099283071e-06
11567.75,5.836946169534428e-06
11568.0,2.8956818737435237e-06
