mono,Epoch,I0,I1,MPF_top,MPF_bot,FF1,FF2,FF3,DTC_FF1,DTC_FF2,DTC_FF3,EMISSION,RAMAN,pd1,tempC,Seconds,Seconds
11562.251,3893,7420,224,12570,12694,77,0,0,77,0,0,11563.549,1867.5405,-1,22.02438,0.6,0.6
11562.501,3894,7417,224,12571,12676,220,0,0,220,0,0,11563.549,1867.791,-1,22.02438,0.6,0.6
11562.751,3895,7424,224,12600,12696,397,0,0,397,0,0,11563.549,1868.041,-1,22.02438,0.6,0.6
11563.002,3896,7430,224,12615,12717,729,0,0,729,0,0,11563.549,1868.2915,-1,22.02438,0.6,0.6
11563.252,3897,7428,224,12600,12693,1040,0,0,1040,0,0,11563.549,1868.542,-1,22.02438,0.6,0.6
11563.503,3898,7427,223,12586,12675,1460,0,0,1460,0,0,11563.549,1868.7925,-1,22.02438,0.6,0.6
11563.753,3899,7430,223,12608,12694,1634,0,0,1634,0,0,11563.549,1869.043,-1,22.02438,0.6,0.6
11563.997,3900,7430,224,12619,12690,1435,0,0,1435,0,0,11563.549,1869.2875,-1,22.02438,0.6,0.6
11564.248,3901,7432,224,12630,12704,993,0,0,993,0,0,11563.549,1869.538,-1,22.02438,0.6,0.6
11564.498,3902,7427,224,12583,12653,572,0,0,572,0,0,11563.549,1869.7885,-1,22.02438,0.6,0.6
11564.748,3903,7435,224,12582,12623,287,0,0,287,0,0,11563.549,1870.0385,-1,22.02438,0.6,0.6
11564.999,3904,7443,224,12568,12613,115,0,0,115,0,0,11563.549,1870.289,-1,22.02438,0.6,0.6
11565.249,3905,7458,224,12607,12637,43,0,0,43,0,0,11563.549,1870.5395,-1,22.02438,0.6,0.6
11565.5,3905,7469,224,12608,12629,21,0,0,21,0,0,11563.549,1870.79,-1,22.02438,0.6,0.6
11565.751,3906,7476,224,12607,12606,18,0,0,18,0,0,11563.549,1871.0405,-1,22.02438,0.6,0.6
11566.001,3907,7494,224,12636,12618,25,0,0,25,0,0,11563.549,1871.291,-1,22.02438,0.6,0.6
11566.252,3908,7508,224,12661,12649,45,0,0,45,0,0,11563.549,1871.5415,-1,22.02438,0.6,0.6
11566.502,3909,7512,224,12611,12596,51,0,0,51,0,0,11563.549,1871.792,-1,22.02438,0.6,0.6
11566.753,3910,7501,223,12528,12529,73,0,0,73,0,0,11563.549,1872.043,-1,22.02438,0.6,0.6
11566.997,3911,7517,224,12632,12624,83,0,0,83,0,0,11563.549,1872.2875,-1,22.02438,0.6,0.6
11567.248,3912,7511,224,12603,12602,140,0,0,140,0,0,11563.549,1872.538,-1,22.02438,0.6,0.6
11567.498,3913,7522,224,12631,12632,138,0,0,138,0,0,11563.549,1872.7885,-1,22.02438,0.6,0.6
11567.749,3914,7510,224,12562,12577,175,0,0,175,0,0,11563.549,1873.0395,-1,22.02438,0.6,0.6
11568,3915,7512,224,12572,12607,170,0,0,170,0,0,11563.549,1873.29,-1,22.02438,0.6,0.6
11568.251,3916,7508,224,12567,12581,186,0,0,186,0,0,11563.549,1873.5405,-1,22.02438,0.6,0.6
11568.501,3917,7520,224,12616,12641,190,0,0,190,0,0,11563.549,1873.791,-1,22.02438,0.6,0.6
11568.752,3918,7523,224,12638,12661,231,0,0,231,0,0,11563.549,1874.0415,-1,22.02438,0.6,0.6
11569.003,3918,7523,224,12644,12660,176,0,0,176,0,0,11563.549,1874.2925,-1,22.02438,0.6,0.6
11569.247,3919,7515,224,12598,12614,182,0,0,182,0,0,11563.549,1874.537,-1,22.02438,0.6,0.6
11569.498,3920,7518,223,12596,12626,154,0,0,154,0,0,11563.549,1874.788,-1,22.02438,0.6,0.6
11569.748,3921,7498,224,12494,12548,108,0,0,108,0,0,11563.549,1875.0385,-1,22.02438,0.6,0.6
11569.999,3922,7507,224,12567,12589,104,0,0,104,0,0,11563.549,1875.2895,-1,22.02438,0.6,0.6
11570.25,3923,7511,224,12576,12603,89,0,0,89,0,0,11563.549,1875.54,-1,22.02438,0.6,0.6
11570.501,3924,7518,224,12603,12620,89,0,0,89,0,0,11563.549,1875.7905,-1,22.02438,0.6,0.6
11570.752,3925,7514,224,12596,12610,58,0,0,58,0,0,11563.549,1876.0415,-1,22.02438,0.6,0.6
11571.002,3926,7505,224,12564,12591,58,0,0,58,0,0,11563.549,1876.292,-1,22.02438,0.6,0.6
11571.247,3927,7512,224,12565,12587,52,0,0,52,0,0,11563.549,1876.537,-1,22.02438,0.6,0.6
11571.498,3928,7515,224,12603,12614,55,0,0,55,0,0,11563.549,1876.788,-1,22.02438,0.6,0.6
11571.748,3929,7516,224,12611,12646,54,0,0,54,0,0,11563.549,1877.0385,-1,22.02438,0.6,0.6
11571.999,3930,7510,223,12582,12613,62,0,0,62,0,0,11563.549,1877.2895,-1,22.02438,0.6,0.6
11572.25,3931,7515,224,12596,12643,54,0,0,54,0,0,11563.549,1877.54,-1,22.02438,0.6,0.6
11572.501,3931,7508,224,12542,12597,52,0,0,52,0,0,11563.549,1877.791,-1,22.02438,0.6,0.6
11572.752,3932,7514,224,12584,12641,63,0,0,63,0,0,11563.549,1878.042,-1,22.02438,0.6,0.6
11573.003,3933,7506,224,12532,12592,57,0,0,57,0,0,11563.549,1878.2925,-1,22.02438,0.6,0.6
11573.247,3934,7510,224,12571,12606,61,0,0,61,0,0,11563.549,1878.5375,-1,22.02438,0.6,0.6
11573.498,3935,7513,224,12572,12608,61,0,0,61,0,0,11563.549,1878.7885,-1,22.02438,0.6,0.6
11573.749,3936,7507,224,12549,12588,69,0,0,69,0,0,11563.549,1879.0395,-1,22.02438,0.6,0.6
11574.001,3937,7509,224,12555,12583,63,0,0,63,0,0,11563.549,1879.2905,-1,22.02438,0.6,0.6
11574.251,3938,7512,224,12591,12623,79,0,0,79,0,0,11563.549,1879.541,-1,22.02438,0.6,0.6
11574.502,3939,7508,223,12570,12600,70,0,0,70,0,0,11563.549,1879.792,-1,22.02438,0.6,0.6
11574.747,3940,7510,224,12586,12622,67,0,0,67,0,0,11563.549,1880.037,-1,22.02438,0.6,0.6
11574.998,3941,7503,224,12540,12575,77,0,0,77,0,0,11563.549,1880.288,-1,22.02438,0.6,0.6
11575.249,3942,7513,224,12591,12614,55,0,0,55,0,0,11563.549,1880.539,-1,22.02438,0.6,0.6
11575.5,3943,7515,224,12594,12615,61,0,0,61,0,0,11563.549,1880.79,-1,22.02438,0.6,0.6
11575.751,3943,7511,223,12590,12600,66,0,0,66,0,0,11563.549,1881.041,-1,22.02438,0.6,0.6
11576.002,3944,7505,223,12559,12585,53,0,0,53,0,0,11563.549,1881.292,-1,22.02438,0.6,0.6
11576.247,3945,7510,224,12589,12608,61,0,0,61,0,0,11563.549,1881.537,-1,22.02438,0.6,0.6
11576.498,3946,7506,224,12572,12600,62,0,0,62,0,0,11563.549,1881.788,-1,22.02438,0.6,0.6
11576.749,3947,7513,224,12570,12602,63,0,0,63,0,0,11563.549,1882.039,-1,22.02438,0.6,0.6
11699.999,3950,7534,223,12278,12041,46,0,0,46,0,0,11563.549,2005.289,-1,22.02438,0.6,0.6
11700.202,3951,7528,224,12233,12046,60,0,0,60,0,0,11563.549,2005.492,-1,22.02438,0.6,0.6
11700.399,3952,7532,224,12227,12054,60,0,0,60,0,0,11563.549,2005.689,-1,22.02438,0.6,0.6
11700.602,3953,7525,224,12173,12029,62,0,0,62,0,0,11563.549,2005.892,-1,22.02438,0.6,0.6
11700.799,3954,7522,224,12200,12079,69,0,0,69,0,0,11563.549,2006.089,-1,22.02438,0.6,0.6
11701.002,3955,7505,223,12156,12046,49,0,0,49,0,0,11563.549,2006.292,-1,22.02438,0.6,0.6
11701.199,3956,7483,224,12131,12015,64,0,0,64,0,0,11563.549,2006.489,-1,22.02438,0.6,0.6
11701.402,3957,7444,224,12078,11977,67,0,0,67,0,0,11563.549,2006.692,-1,22.02438,0.6,0.6
11701.6,3958,7422,224,12062,11980,62,0,0,62,0,0,11563.549,2006.8895,-1,22.02438,0.6,0.6
11701.802,3958,7410,224,11974,11934,53,0,0,53,0,0,11563.549,2007.0925,-1,22.02438,0.6,0.6
11701.999,3959,7462,223,12034,12017,52,0,0,52,0,0,11563.549,2007.2895,-1,22.02438,0.6,0.6
11702.202,3960,7508,224,12111,12093,46,0,0,46,0,0,11563.549,2007.4925,-1,22.02438,0.6,0.6
11702.399,3961,7517,224,12110,12085,63,0,0,63,0,0,11563.549,2007.6895,-1,22.02438,0.6,0.6
11702.603,3962,7501,224,12104,12075,66,0,0,66,0,0,11563.549,2007.8925,-1,22.02438,0.6,0.6
11702.799,3963,7470,224,12087,12039,55,0,0,55,0,0,11563.549,2008.0895,-1,22.02438,0.6,0.6
11703.003,3964,7434,224,12036,11986,57,0,0,57,0,0,11563.549,2008.293,-1,22.02438,0.6,0.6
11703.2,3965,7423,224,12013,11983,60,0,0,60,0,0,11563.549,2008.49,-1,22.02438,0.6,0.6
11703.397,3966,7451,224,12022,12015,63,0,0,63,0,0,11563.549,2008.687,-1,22.02438,0.6,0.6
11703.6,3967,7513,224,12119,12111,65,0,0,65,0,0,11563.549,2008.89,-1,22.02438,0.6,0.6
11703.798,3968,7550,224,12168,12163,78,0,0,78,0,0,11563.549,2009.0875,-1,22.02438,0.6,0.6
11704.001,3969,7557,224,12201,12171,53,0,0,53,0,0,11563.549,2009.2905,-1,22.02438,0.6,0.6
11704.198,3970,7552,224,12162,12134,41,0,0,41,0,0,11563.549,2009.4875,-1,22.02438,0.6,0.6
11704.4,3971,7549,224,12153,12142,62,0,0,62,0,0,11563.549,2009.6905,-1,22.02438,0.6,0.6
11704.598,3971,7552,224,12190,12151,58,0,0,58,0,0,11563.549,2009.888,-1,22.02438,0.6,0.6
11704.801,3972,7549,224,12176,12148,43,0,0,43,0,0,11563.549,2010.091,-1,22.02438,0.6,0.6
11704.998,3973,7555,224,12175,12161,63,0,0,63,0,0,11563.549,2010.288,-1,22.02438,0.6,0.6
