mono,Epoch,I0,I1,MPF_top,MPF_bot,FF1,FF2,FF3,DTC_FF1,DTC_FF2,DTC_FF3,EMISSION,RAMAN,pd1,tempC,Seconds,Seconds
11564.748,11682,7441,227,12543,12618,24,0,0,24,0,0,11552.848,1870.0385,-1,22.02438,0.6,0.6
11564.999,11682,7445,227,12559,12624,11,0,0,11,0,0,11552.848,1870.289,-1,22.02438,0.6,0.6
11565.249,11683,7436,228,12515,12585,18,0,0,18,0,0,11552.848,1870.5395,-1,22.02438,0.6,0.6
11565.5,11684,7428,228,12469,12556,21,0,0,21,0,0,11552.848,1870.79,-1,22.02438,0.6,0.6
11565.751,11685,7422,228,12431,12528,13,0,0,13,0,0,11552.848,1871.0405,-1,22.02438,0.6,0.6
11566.001,11686,7429,228,12455,12543,22,0,0,22,0,0,11552.848,1871.291,-1,22.02438,0.6,0.6
11699.999,11689,7468,228,12225,11986,11,0,0,11,0,0,11552.848,2005.289,-1,22.02438,0.6,0.6
11700.202,11690,7465,228,12190,11984,17,0,0,17,0,0,11552.848,2005.492,-1,22.02438,0.6,0.6
11700.399,11691,7465,227,12188,12002,13,0,0,13,0,0,11552.848,2005.689,-1,22.02438,0.6,0.6
11700.602,11692,7463,227,12137,11977,16,0,0,16,0,0,11552.848,2005.892,-1,22.02438,0.6,0.6
11700.799,11693,7450,227,12086,11937,20,0,0,20,0,0,11552.848,2006.089,-1,22.02438,0.6,0.6
11701.002,11694,7457,228,12168,11998,17,0,0,17,0,0,11552.848,2006.292,-1,22.02438,0.6,0.6
11701.199,11695,7437,228,12132,11976,11,0,0,11,0,0,11552.848,2006.489,-1,22.02438,0.6,0.6
11701.402,11696,7408,227,12081,11928,12,0,0,12,0,0,11552.848,2006.692,-1,22.02438,0.6,0.6
11701.6,11697,7373,228,12022,11852,19,0,0,19,0,0,11552.848,2006.8895,-1,22.02438,0.6,0.6
11701.802,11698,7348,227,11997,11859,11,0,0,11,0,0,11552.848,2007.0925,-1,22.02438,0.6,0.6
11701.999,11699,7351,227,11975,11874,22,0,0,22,0,0,11552.848,2007.2895,-1,22.02438,0.6,0.6
11702.202,11700,7405,228,12015,11954,11,0,0,11,0,0,11552.848,2007.4925,-1,22.02438,0.6,0.6
11702.399,11701,7445,228,12076,12028,13,0,0,13,0,0,11552.848,2007.6895,-1,22.02438,0.6,0.6
11702.603,11701,7446,228,12080,12022,7,0,0,7,0,0,11552.848,2007.8925,-1,22.02438,0.6,0.6
11702.799,11702,7431,228,12045,11976,17,0,0,17,0,0,11552.848,2008.0895,-1,22.02438,0.6,0.6
11703.003,11703,7411,228,12009,11944,13,0,0,13,0,0,11552.848,2008.293,-1,22.02438,0.6,0.6
11703.2,11704,7397,228,12016,11927,16,0,0,16,0,0,11552.848,2008.49,-1,22.02438,0.6,0.6
11703.397,11705,7402,227,11977,11920,16,0,0,16,0,0,11552.848,2008.687,-1,22.02438,0.6,0.6
11703.6,11706,7445,228,11958,11935,10,0,0,10,0,0,11552.848,2008.89,-1,22.02438,0.6,0.6
11703.798,11707,7520,227,12082,12054,10,0,0,10,0,0,11552.848,2009.0875,-1,22.02438,0.6,0.6
11704.001,11708,7562,228,12142,12087,18,0,0,18,0,0,11552.848,2009.2905,-1,22.02438,0.6,0.6
11704.198,11709,7574,227,12130,12075,15,0,0,15,0,0,11552.848,2009.4875,-1,22.02438,0.6,0.6
11704.4,11710,7567,227,12084,12028,10,0,0,10,0,0,11552.848,2009.6905,-1,22.02438,0.6,0.6
11704.598,11711,7571,228,12105,12066,15,0,0,15,0,0,11552.848,2009.888,-1,22.02438,0.6,0.6
11704.801,11712,7579,228,12148,12093,10,0,0,10,0,0,11552.848,2010.091,-1,22.02438,0.6,0.6
11704.998,11713,7572,228,12090,12075,18,0,0,18,0,0,11552.848,2010.288,-1,22.02438,0.6,0.6
