mono,Epoch,I0,I1,MPF_top,MPF_bot,FF1,FF2,FF3,DTC_FF1,DTC_FF2,DTC_FF3,EMISSION,RAMAN,pd1,tempC,Seconds,Seconds
11563.252,3087,7486,225,12508,12616,62,0,0,62,0,0,11564.538,1868.542,-1,22.02438,0.6,0.6
11563.503,3088,7491,224,12498,12599,161,0,0,161,0,0,11564.538,1868.7925,-1,22.02438,0.6,0.6
11563.753,3089,7495,223,12534,12617,274,0,0,274,0,0,11564.538,1869.043,-1,22.02438,0.6,0.6
11563.997,3090,7505,224,12584,12631,574,0,0,574,0,0,11564.538,1869.2875,-1,22.02438,0.6,0.6
11564.248,3091,7494,225,12529,12576,956,0,0,956,0,0,11564.538,1869.538,-1,22.02438,0.6,0.6
11564.498,3092,7497,224,12533,12586,1313,0,0,1313,0,0,11564.538,1869.7885,-1,22.02438,0.6,0.6
11564.748,3093,7488,224,12513,12555,1268,0,0,1268,0,0,11564.538,1870.0385,-1,22.02438,0.6,0.6
11564.999,3094,7492,224,12524,12561,990,0,0,990,0,0,11564.538,1870.289,-1,22.02438,0.6,0.6
11565.249,3094,7493,224,12547,12577,641,0,0,641,0,0,11564.538,1870.5395,-1,22.02438,0.6,0.6
11565.5,3095,7497,224,12557,12598,301,0,0,301,0,0,11564.538,1870.79,-1,22.02438,0.6,0.6
11565.751,3096,7499,224,12582,12603,120,0,0,120,0,0,11564.538,1871.0405,-1,22.02438,0.6,0.6
11566.001,3097,7490,224,12520,12535,62,0,0,62,0,0,11564.538,1871.291,-1,22.02438,0.6,0.6
11566.252,3098,7496,224,12565,12596,34,0,0,34,0,0,11564.538,1871.5415,-1,22.02438,0.6,0.6
11566.502,3099,7486,224,12517,12524,18,0,0,18,0,0,11564.538,1871.792,-1,22.02438,0.6,0.6
11566.753,3100,7492,224,12547,12571,22,0,0,22,0,0,11564.538,1872.043,-1,22.02438,0.6,0.6
11566.997,3101,7496,224,12547,12554,40,0,0,40,0,0,11564.538,1872.2875,-1,22.02438,0.6,0.6
11567.248,3102,7503,224,12584,12625,55,0,0,55,0,0,11564.538,1872.538,-1,22.02438,0.6,0.6
11567.498,3103,7500,224,12581,12600,64,0,0,64,0,0,11564.538,1872.7885,-1,22.02438,0.6,0.6
11567.749,3104,7487,224,12524,12536,86,0,0,86,0,0,11564.538,1873.0395,-1,22.02438,0.6,0.6
11568,3105,7486,224,12528,12532,95,0,0,95,0,0,11564.538,1873.29,-1,22.02438,0.6,0.6
11568.251,3106,7491,225,12554,12550,94,0,0,94,0,0,11564.538,1873.5405,-1,22.02438,0.6,0.6
11568.501,3107,7494,224,12574,12571,121,0,0,121,0,0,11564.538,1873.791,-1,22.02438,0.6,0.6
11568.752,3107,7498,224,12588,12561,121,0,0,121,0,0,11564.538,1874.0415,-1,22.02438,0.6,0.6
11569.003,3108,7480,224,12507,12498,130,0,0,130,0,0,11564.538,1874.2925,-1,22.02438,0.6,0.6
11569.247,3109,7479,224,12502,12483,137,0,0,137,0,0,11564.538,1874.537,-1,22.02438,0.6,0.6
11569.498,3110,7475,224,12500,12469,110,0,0,110,0,0,11564.538,1874.788,-1,22.02438,0.6,0.6
11569.748,3111,7487,224,12572,12546,89,0,0,89,0,0,11564.538,1875.0385,-1,22.02438,0.6,0.6
11569.999,3112,7496,224,12586,12558,107,0,0,107,0,0,11564.538,1875.2895,-1,22.02438,0.6,0.6
11570.25,3113,7487,224,12571,12534,75,0,0,75,0,0,11564.538,1875.54,-1,22.02438,0.6,0.6
11570.501,3114,7479,224,12489,12464,62,0,0,62,0,0,11564.538,1875.7905,-1,22.02438,0.6,0.6
11570.752,3115,7479,224,12505,12476,56,0,0,56,0,0,11564.538,1876.0415,-1,22.02438,0.6,0.6
11571.002,3116,7495,224,12579,12559,32,0,0,32,0,0,11564.538,1876.292,-1,22.02438,0.6,0.6
11571.247,3117,7496,224,12599,12585,56,0,0,56,0,0,11564.538,1876.537,-1,22.02438,0.6,0.6
11571.498,3118,7477,224,12525,12484,29,0,0,29,0,0,11564.538,1876.788,-1,22.02438,0.6,0.6
11571.748,3119,7493,224,12580,12562,36,0,0,36,0,0,11564.538,1877.0385,-1,22.02438,0.6,0.6
11571.999,3119,7486,224,12555,12540,37,0,0,37,0,0,11564.538,1877.2895,-1,22.02438,0.6,0.6
11572.25,3120,7489,224,12580,12534,40,0,0,40,0,0,11564.538,1877.54,-1,22.02438,0.6,0.6
11572.501,3121,7484,224,12548,12501,45,0,0,45,0,0,11564.538,1877.791,-1,22.02438,0.6,0.6
11572.752,3122,7491,224,12579,12519,47,0,0,47,0,0,11564.538,1878.042,-1,22.02438,0.6,0.6
11573.003,3123,7488,224,12558,12503,46,0,0,46,0,0,11564.538,1878.2925,-1,22.02438,0.6,0.6
11573.247,3124,7490,225,12580,12532,45,0,0,45,0,0,11564.538,1878.5375,-1,22.02438,0.6,0.6
11573.498,3125,7482,224,12555,12523,48,0,0,48,0,0,11564.538,1878.7885,-1,22.02438,0.6,0.6
11573.749,3126,7488,224,12574,12548,59,0,0,59,0,0,11564.538,1879.0395,-1,22.02438,0.6,0.6
11574.001,3127,7486,224,12561,12543,71,0,0,71,0,0,11564.538,1879.2905,-1,22.02438,0.6,0.6
11574.251,3128,7481,225,12503,12502,63,0,0,63,0,0,11564.538,1879.541,-1,22.02438,0.6,0.6
11574.502,3129,7487,224,12531,12534,75,0,0,75,0,0,11564.538,1879.792,-1,22.02438,0.6,0.6
11574.747,3130,7494,224,12561,12565,78,0,0,78,0,0,11564.538,1880.037,-1,22.02438,0.6,0.6
11574.998,3131,7491,224,12553,12581,76,0,0,76,0,0,11564.538,1880.288,-1,22.02438,0.6,0.6
11575.249,3132,7486,224,12526,12561,67,0,0,67,0,0,11564.538,1880.539,-1,22.02438,0.6,0.6
11575.5,3132,7480,225,12485,12522,77,0,0,77,0,0,11564.538,1880.79,-1,22.02438,0.6,0.6
11575.751,3133,7487,224,12518,12555,65,0,0,65,0,0,11564.538,1881.041,-1,22.02438,0.6,0.6
11576.002,3134,7485,224,12521,12552,63,0,0,63,0,0,11564.538,1881.292,-1,22.02438,0.6,0.6
11576.247,3135,7486,224,12501,12525,72,0,0,72,0,0,11564.538,1881.537,-1,22.02438,0.6,0.6
11576.498,3136,7486,224,12517,12563,64,0,0,64,0,0,11564.538,1881.788,-1,22.02438,0.6,0.6
11576.749,3137,7479,224,12477,12523,53,0,0,53,0,0,11564.538,1882.039,-1,22.02438,0.6,0.6
11577,3138,7482,224,12490,12524,69,0,0,69,0,0,11564.538,1882.29,-1,22.02438,0.6,0.6
11577.251,3139,7490,224,12540,12562,42,0,0,42,0,0,11564.538,1882.541,-1,22.02438,0.6,0.6
11577.502,3140,7484,224,12510,12554,43,0,0,43,0,0,11564.538,1882.792,-1,22.02438,0.6,0.6
11577.747,3141,7485,224,12500,12570,44,0,0,44,0,0,11564.538,1883.0375,-1,22.02438,0.6,0.6
11699.999,3144,7509,224,12176,11989,56,0,0,56,0,0,11564.538,2005.289,-1,22.02438,0.6,0.6
11700.202,3145,7508,225,12180,12005,34,0,0,34,0,0,11564.538,2005.492,-1,22.02438,0.6,0.6
11700.399,3146,7510,224,12225,12057,42,0,0,42,0,0,11564.538,2005.689,-1,22.02438,0.6,0.6
11700.602,3147,7498,225,12155,12011,48,0,0,48,0,0,11564.538,2005.892,-1,22.02438,0.6,0.6
11700.799,3147,7488,224,12125,12021,61,0,0,61,0,0,11564.538,2006.089,-1,22.02438,0.6,0.6
11701.002,3148,7477,224,12131,12024,47,0,0,47,0,0,11564.538,2006.292,-1,22.02438,0.6,0.6
11701.199,3149,7450,224,12087,11976,49,0,0,49,0,0,11564.538,2006.489,-1,22.02438,0.6,0.6
11701.402,3150,7398,224,11969,11876,54,0,0,54,0,0,11564.538,2006.692,-1,22.02438,0.6,0.6
11701.6,3151,7384,224,11949,11891,45,0,0,45,0,0,11564.538,2006.8895,-1,22.02438,0.6,0.6
11701.802,3152,7392,224,11899,11891,42,0,0,42,0,0,11564.538,2007.0925,-1,22.02438,0.6,0.6
11701.999,3153,7463,224,12021,12033,54,0,0,54,0,0,11564.538,2007.2895,-1,22.02438,0.6,0.6
11702.202,3154,7487,224,12029,12040,48,0,0,48,0,0,11564.538,2007.4925,-1,22.02438,0.6,0.6
11702.399,3155,7495,224,12102,12084,44,0,0,44,0,0,11564.538,2007.6895,-1,22.02438,0.6,0.6
11702.603,3156,7464,224,12034,12031,49,0,0,49,0,0,11564.538,2007.8925,-1,22.02438,0.6,0.6
11702.799,3157,7433,224,12010,12000,51,0,0,51,0,0,11564.538,2008.0895,-1,22.02438,0.6,0.6
11703.003,3158,7392,224,11922,11935,40,0,0,40,0,0,11564.538,2008.293,-1,22.02438,0.6,0.6
11703.2,3159,7406,224,11958,11966,53,0,0,53,0,0,11564.538,2008.49,-1,22.02438,0.6,0.6
11703.397,3160,7451,224,12011,12045,44,0,0,44,0,0,11564.538,2008.687,-1,22.02438,0.6,0.6
11703.6,3160,7493,224,12006,12057,50,0,0,50,0,0,11564.538,2008.89,-1,22.02438,0.6,0.6
11703.798,3161,7527,224,12099,12143,46,0,0,46,0,0,11564.538,2009.0875,-1,22.02438,0.6,0.6
11704.001,3162,7534,224,12126,12154,61,0,0,61,0,0,11564.538,2009.2905,-1,22.02438,0.6,0.6
11704.198,3163,7534,223,12118,12149,46,0,0,46,0,0,11564.538,2009.4875,-1,22.02438,0.6,0.6
11704.4,3164,7522,224,12079,12096,57,0,0,57,0,0,11564.538,2009.6905,-1,22.02438,0.6,0.6
11704.598,3165,7528,225,12083,12111,42,0,0,42,0,0,11564.538,2009.888,-1,22.02438,0.6,0.6
11704.801,3166,7530,225,12117,12143,46,0,0,46,0,0,11564.538,2010.091,-1,22.02438,0.6,0.6
11704.998,3167,7523,224,12067,12109,47,0,0,47,0,0,11564.538,2010.288,-1,22.02438,0.6,0.6
