mono,Epoch,I0,I1,MPF_top,MPF_bot,FF1,FF2,FF3,DTC_FF1,DTC_FF2,DTC_FF3,EMISSION,RAMAN,pd1,tempC,Seconds,Seconds
11556.502,8028,7410,224,12565,12602,37,0,0,37,0,0,11557.836,1861.7915,-1,22.02438,0.6,0.6
11556.752,8029,7404,224,12534,12593,146,0,0,146,0,0,11557.836,1862.0415,-1,22.02438,0.6,0.6
11557.002,8030,7407,224,12543,12590,286,0,0,286,0,0,11557.836,1862.2915,-1,22.02438,0.6,0.6
11557.252,8031,7407,224,12532,12565,570,0,0,570,0,0,11557.836,1862.5415,-1,22.02438,0.6,0.6
11557.502,8032,7402,224,12487,12522,990,0,0,990,0,0,11557.836,1862.792,-1,22.02438,0.6,0.6
11557.752,8033,7406,224,12514,12522,1450,0,0,1450,0,0,11557.836,1863.042,-1,22.02438,0.6,0.6
11558.002,8034,7403,224,12542,12553,1656,0,0,1656,0,0,11557.836,1863.292,-1,22.02438,0.6,0.6
11558.253,8034,7400,224,12535,12535,1330,0,0,1330,0,0,11557.836,1863.5425,-1,22.02438,0.6,0.6
11558.503,8035,7397,224,12506,12502,1015,0,0,1015,0,0,11557.836,1863.7925,-1,22.02438,0.6,0.6
11558.753,8036,7397,223,12511,12499,516,0,0,516,0,0,11557.836,1864.0425,-1,22.02438,0.6,0.6
11559.003,8037,7409,223,12623,12586,270,0,0,270,0,0,11557.836,1864.293,-1,22.02438,0.6,0.6
11559.247,8038,7395,224,12503,12481,111,0,0,111,0,0,11557.836,1864.537,-1,22.02438,0.6,0.6
11559.497,8039,7412,223,12597,12567,33,0,0,33,0,0,11557.836,1864.7875,-1,22.02438,0.6,0.6
11559.747,8040,7415,224,12616,12570,24,0,0,24,0,0,11557.836,1865.0375,-1,22.02438,0.6,0.6
11559.998,8041,7406,224,12587,12555,14,0,0,14,0,0,11557.836,1865.288,-1,22.02438,0.6,0.6
11560.248,8042,7404,224,12565,12521,13,0,0,13,0,0,11557.836,1865.538,-1,22.02438,0.6,0.6
11560.498,8043,7406,224,12582,12524,12,0,0,12,0,0,11557.836,1865.7885,-1,22.02438,0.6,0.6
11560.748,8044,7406,224,12567,12530,11,0,0,11,0,0,11557.836,1866.0385,-1,22.02438,0.6,0.6
11560.999,8045,7412,224,12588,12539,20,0,0,20,0,0,11557.836,1866.289,-1,22.02438,0.6,0.6
11561.249,8046,7406,225,12567,12512,24,0,0,24,0,0,11557.836,1866.539,-1,22.02438,0.6,0.6
11561.499,8047,7414,225,12607,12556,39,0,0,39,0,0,11557.836,1866.7895,-1,22.02438,0.6,0.6
11561.75,8047,7409,225,12589,12533,33,0,0,33,0,0,11557.836,1867.04,-1,22.02438,0.6,0.6
11562,8048,7408,224,12597,12542,53,0,0,53,0,0,11557.836,1867.29,-1,22.02438,0.6,0.6
11562.251,8049,7406,225,12558,12509,72,0,0,72,0,0,11557.836,1867.5405,-1,22.02438,0.6,0.6
11562.501,8050,7419,224,12624,12579,67,0,0,67,0,0,11557.836,1867.791,-1,22.02438,0.6,0.6
11562.751,8051,7418,224,12611,12568,80,0,0,80,0,0,11557.836,1868.041,-1,22.02438,0.6,0.6
11563.002,8052,7413,224,12579,12551,61,0,0,61,0,0,11557.836,1868.2915,-1,22.02438,0.6,0.6
11563.252,8053,7408,224,12520,12496,87,0,0,87,0,0,11557.836,1868.542,-1,22.02438,0.6,0.6
11563.503,8054,7411,224,12573,12535,55,0,0,55,0,0,11557.836,1868.7925,-1,22.02438,0.6,0.6
11563.753,8055,7402,224,12514,12473,77,0,0,77,0,0,11557.836,1869.043,-1,22.02438,0.6,0.6
11563.997,8056,7409,224,12531,12512,60,0,0,60,0,0,11557.836,1869.2875,-1,22.02438,0.6,0.6
11564.248,8057,7415,224,12584,12536,50,0,0,50,0,0,11557.836,1869.538,-1,22.02438,0.6,0.6
11564.498,8058,7416,224,12601,12540,38,0,0,38,0,0,11557.836,1869.7885,-1,22.02438,0.6,0.6
11564.748,8059,7418,224,12592,12535,53,0,0,53,0,0,11557.836,1870.0385,-1,22.02438,0.6,0.6
11564.999,8060,7417,225,12597,12539,43,0,0,43,0,0,11557.836,1870.289,-1,22.02438,0.6,0.6
11565.249,8060,7414,225,12574,12523,33,0,0,33,0,0,11557.836,1870.5395,-1,22.02438,0.6,0.6
11565.5,8061,7414,224,12592,12548,37,0,0,37,0,0,11557.836,1870.79,-1,22.02438,0.6,0.6
11565.751,8062,7414,224,12557,12502,45,0,0,45,0,0,11557.836,1871.0405,-1,22.02438,0.6,0.6
11566.001,8063,7416,224,12588,12545,56,0,0,56,0,0,11557.836,1871.291,-1,22.02438,0.6,0.6
11566.252,8064,7412,224,12553,12509,47,0,0,47,0,0,11557.836,1871.5415,-1,22.02438,0.6,0.6
11566.502,8065,7414,224,12542,12526,44,0,0,44,0,0,11557.836,1871.792,-1,22.02438,0.6,0.6
11566.753,8066,7420,224,12590,12569,53,0,0,53,0,0,11557.836,1872.043,-1,22.02438,0.6,0.6
11566.997,8067,7404,224,12480,12470,41,0,0,41,0,0,11557.836,1872.2875,-1,22.02438,0.6,0.6
11567.248,8068,7410,224,12520,12510,58,0,0,58,0,0,11557.836,1872.538,-1,22.02438,0.6,0.6
11567.498,8069,7409,225,12532,12520,54,0,0,54,0,0,11557.836,1872.7885,-1,22.02438,0.6,0.6
11567.749,8070,7408,225,12508,12501,60,0,0,60,0,0,11557.836,1873.0395,-1,22.02438,0.6,0.6
11568,8071,7417,224,12571,12556,60,0,0,60,0,0,11557.836,1873.29,-1,22.02438,0.6,0.6
