Time,Epoch,I0,I1,MPF_top,MPF_bot,FF1,FF2,FF3,DTC_FF1,DTC_FF2,DTC_FF3,EMISSION,RAMAN,pd1,tempC,Seconds,Seconds
9.05991e-06,11714,2531,76,4018,4021,28,0,0,28,0,0,11562.309,2010.288,-1,22.02438,0.2,0.2
0.214994,11714,2524,76,4033,4043,15,0,0,15,0,0,11562.309,2010.288,-1,22.02438,0.2,0.2
0.430115,11714,2521,76,4017,4028,26,0,0,26,0,0,11562.309,2010.288,-1,22.02438,0.2,0.2
0.643713,11714,2519,76,4025,4024,23,0,0,23,0,0,11562.309,2010.288,-1,22.02438,0.2,0.2
0.859562,11714,2525,76,4022,4032,29,0,0,29,0,0,11562.309,2010.288,-1,22.02438,0.2,0.2
