Time,Epoch,I0,I1,MPF_top,MPF_bot,FF1,FF2,FF3,DTC_FF1,DTC_FF2,DTC_FF3,EMISSION,RAMAN,pd1,tempC,Seconds,Seconds
6.91414e-06,4691,2509,74,4047,4053,21,0,0,21,0,0,11562.309,2010.288,-1,22.02438,0.2,0.2
0.214681,4692,2507,75,4051,4056,21,0,0,21,0,0,11562.309,2010.288,-1,22.02438,0.2,0.2
0.432591,4692,2503,75,4036,4042,24,0,0,24,0,0,11562.309,2010.288,-1,22.02438,0.2,0.2
0.650213,4692,2500,75,4024,4038,27,0,0,27,0,0,11562.309,2010.288,-1,22.02438,0.2,0.2
0.867089,4692,2501,74,4006,4016,28,0,0,28,0,0,11562.309,2010.288,-1,22.02438,0.2,0.2
