Time,Epoch,I0,I1,MPF_top,MPF_bot,FF1,FF2,FF3,DTC_FF1,DTC_FF2,DTC_FF3,EMISSION,RAMAN,pd1,tempC,Seconds,Seconds
7.86781e-06,5768,2525,75,4046,4048,28,0,0,28,0,0,11562.309,2010.288,-1,22.02438,0.2,0.2
0.215598,5768,2520,74,4049,4043,21,0,0,21,0,0,11562.309,2010.288,-1,22.02438,0.2,0.2
0.43155,5769,2515,75,4033,4040,23,0,0,23,0,0,11562.309,2010.288,-1,22.02438,0.2,0.2
0.647933,5769,2516,75,4036,4025,28,0,0,28,0,0,11562.309,2010.288,-1,22.02438,0.2,0.2
0.863438,5769,2517,75,4042,4036,23,0,0,23,0,0,11562.309,2010.288,-1,22.02438,0.2,0.2
