Time,Epoch,I0,I1,MPF_top,MPF_bot,FF1,FF2,FF3,DTC_FF1,DTC_FF2,DTC_FF3,EMISSION,RAMAN,pd1,tempC,Seconds,Seconds
6.91414e-06,10628,2517,75,4014,4017,37,0,0,37,0,0,11562.309,2010.288,-1,22.02438,0.2,0.2
0.214177,10628,2517,76,4047,4049,42,0,0,42,0,0,11562.309,2010.288,-1,22.02438,0.2,0.2
0.429527,10628,2516,76,4057,4061,38,0,0,38,0,0,11562.309,2010.288,-1,22.02438,0.2,0.2
0.644105,10628,2514,76,4050,4049,33,0,0,33,0,0,11562.309,2010.288,-1,22.02438,0.2,0.2
0.858137,10629,2517,76,4047,4054,43,0,0,43,0,0,11562.309,2010.288,-1,22.02438,0.2,0.2
