MONO,Calibrated,Epoch,I0,I1,MPF_top,MPF_bot,FF1,FF2,FF3,DTC_FF1,DTC_FF2,DTC_FF3,EMISSION,RAMAN,pd1,tempC,Seconds,Seconds.1,SHIFT
11568.25,11568.35,7257,7474,224,12509,12545,66,0,0,66,0,0,11558.827,1873.5405,-1,22.02438,0.6,0.6,0.1000000000003638
11568.5,11568.6,7258,7484,225,12559,12607,52,0,0,52,0,0,11558.827,1873.791,-1,22.02438,0.6,0.6,0.1000000000003638
11568.75,11568.85,7259,7479,224,12537,12588,63,0,0,63,0,0,11558.827,1874.0415,-1,22.02438,0.6,0.6,0.1000000000003638
11569.0,11569.1,7260,7480,224,12529,12580,56,0,0,56,0,0,11558.827,1874.2925,-1,22.02438,0.6,0.6,0.1000000000003638
11569.25,11569.35,7261,7479,225,12511,12560,61,0,0,61,0,0,11558.827,1874.537,-1,22.02438,0.6,0.6,0.1000000000003638
11569.5,11569.6,7262,7477,224,12548,12580,47,0,0,47,0,0,11558.827,1874.788,-1,22.02438,0.6,0.6,0.1000000000003638
11569.75,11569.85,7263,7471,224,12465,12522,54,0,0,54,0,0,11558.827,1875.0385,-1,22.02438,0.6,0.6,0.1000000000003638
11570.0,11570.1,7264,7466,224,12459,12522,42,0,0,42,0,0,11558.827,1875.2895,-1,22.02438,0.6,0.6,0.1000000000003638
11570.25,11570.35,7265,7476,224,12519,12564,62,0,0,62,0,0,11558.827,1875.54,-1,22.02438,0.6,0.6,0.1000000000003638
11570.5,11570.6,7266,7469,225,12490,12544,50,0,0,50,0,0,11558.827,1875.7905,-1,22.02438,0.6,0.6,0.1000000000003638
11570.75,11570.85,7267,7477,225,12533,12575,41,0,0,41,0,0,11558.827,1876.0415,-1,22.02438,0.6,0.6,0.1000000000003638
11571.0,11571.1,7267,7480,224,12539,12592,42,0,0,42,0,0,11558.827,1876.292,-1,22.02438,0.6,0.6,0.1000000000003638
11571.25,11571.35,7268,7477,224,12519,12569,48,0,0,48,0,0,11558.827,1876.537,-1,22.02438,0.6,0.6,0.1000000000003638
11571.5,11571.6,7269,7472,224,12492,12544,45,0,0,45,0,0,11558.827,1876.788,-1,22.02438,0.6,0.6,0.1000000000003638
11571.75,11571.85,7270,7476,225,12532,12566,29,0,0,29,0,0,11558.827,1877.0385,-1,22.02438,0.6,0.6,0.1000000000003638
11572.0,11572.1,7271,7479,225,12530,12575,25,0,0,25,0,0,11558.827,1877.2895,-1,22.02438,0.6,0.6,0.1000000000003638
11700.0,11700.1,7274,7496,224,12147,11926,30,0,0,30,0,0,11558.827,2005.289,-1,22.02438,0.6,0.6,0.1000000000003638
11700.2,11700.300000000001,7275,7504,224,12204,11993,44,0,0,44,0,0,11558.827,2005.492,-1,22.02438,0.6,0.6,0.1000000000003638
11700.4,11700.5,7276,7509,224,12206,12004,37,0,0,37,0,0,11558.827,2005.689,-1,22.02438,0.6,0.6,0.1000000000003638
11700.6,11700.7,7277,7504,224,12175,12007,40,0,0,40,0,0,11558.827,2005.892,-1,22.02438,0.6,0.6,0.1000000000003638
11700.8,11700.9,7278,7504,225,12185,12023,39,0,0,39,0,0,11558.827,2006.089,-1,22.02438,0.6,0.6,0.1000000000003638
11701.0,11701.1,7279,7486,225,12130,12008,41,0,0,41,0,0,11558.827,2006.292,-1,22.02438,0.6,0.6,0.1000000000003638
11701.2,11701.300000000001,7280,7463,225,12100,11971,39,0,0,39,0,0,11558.827,2006.489,-1,22.02438,0.6,0.6,0.1000000000003638
11701.4,11701.5,7281,7442,225,12094,11962,46,0,0,46,0,0,11558.827,2006.692,-1,22.02438,0.6,0.6,0.1000000000003638
11701.6,11701.7,7282,7407,225,12045,11926,36,0,0,36,0,0,11558.827,2006.8895,-1,22.02438,0.6,0.6,0.1000000000003638
11701.8,11701.9,7283,7381,224,11983,11882,42,0,0,42,0,0,11558.827,2007.0925,-1,22.02438,0.6,0.6,0.1000000000003638
11702.0,11702.1,7284,7382,224,11906,11854,38,0,0,38,0,0,11558.827,2007.2895,-1,22.02438,0.6,0.6,0.1000000000003638
11702.2,11702.300000000001,7285,7459,225,12042,12000,35,0,0,35,0,0,11558.827,2007.4925,-1,22.02438,0.6,0.6,0.1000000000003638
11702.4,11702.5,7286,7492,224,12099,12064,34,0,0,34,0,0,11558.827,2007.6895,-1,22.02438,0.6,0.6,0.1000000000003638
11702.6,11702.7,7286,7485,225,12088,12054,46,0,0,46,0,0,11558.827,2007.8925,-1,22.02438,0.6,0.6,0.1000000000003638
11702.8,11702.9,7287,7458,225,12088,12028,42,0,0,42,0,0,11558.827,2008.0895,-1,22.02438,0.6,0.6,0.1000000000003638
11703.0,11703.1,7288,7415,225,11966,11916,40,0,0,40,0,0,11558.827,2008.293,-1,22.02438,0.6,0.6,0.1000000000003638
11703.2,11703.300000000001,7289,7390,225,11963,11907,37,0,0,37,0,0,11558.827,2008.49,-1,22.02438,0.6,0.6,0.1000000000003638
11703.4,11703.5,7290,7395,225,11940,11907,40,0,0,40,0,0,11558.827,2008.687,-1,22.02438,0.6,0.6,0.1000000000003638
11703.6,11703.7,7291,7448,224,12005,11990,34,0,0,34,0,0,11558.827,2008.89,-1,22.02438,0.6,0.6,0.1000000000003638
11703.8,11703.9,7292,7491,224,12060,12052,43,0,0,43,0,0,11558.827,2009.0875,-1,22.02438,0.6,0.6,0.1000000000003638
11704.0,11704.1,7293,7525,224,12150,12110,31,0,0,31,0,0,11558.827,2009.2905,-1,22.02438,0.6,0.6,0.1000000000003638
11704.2,11704.300000000001,7294,7525,224,12144,12102,40,0,0,40,0,0,11558.827,2009.4875,-1,22.02438,0.6,0.6,0.1000000000003638
11704.4,11704.5,7295,7530,224,12173,12155,35,0,0,35,0,0,11558.827,2009.6905,-1,22.02438,0.6,0.6,0.1000000000003638
11704.6,11704.7,7296,7522,224,12123,12082,51,0,0,51,0,0,11558.827,2009.888,-1,22.02438,0.6,0.6,0.1000000000003638
11704.8,11704.9,7297,7520,224,12126,12103,49,0,0,49,0,0,11558.827,2010.091,-1,22.02438,0.6,0.6,0.1000000000003638
11705.0,11705.1,7298,7520,225,12099,12064,44,0,0,44,0,0,11558.827,2010.288,-1,22.02438,0.6,0.6,0.1000000000003638
