MONO,Epoch,I0,I1,MPF_top,MPF_bot,FF1,FF2,FF3,DTC_FF1,DTC_FF2,DTC_FF3,EMISSION,RAMAN,pd1,tempC,Seconds,Seconds.1
11560.75,12395,7469,228,12529,12536,9,0,0,9,0,0,11551.856000000002,1866.0385,-1,22.024379999999997,0.6,0.6
11561.0,12396,7458,228,12442,12459,18,0,0,18,0,0,11551.856000000002,1866.289,-1,22.024379999999997,0.6,0.6
11561.25,12397,7469,227,12528,12537,10,0,0,10,0,0,11551.856000000002,1866.539,-1,22.024379999999997,0.6,0.6
11561.5,12398,7462,228,12515,12535,15,0,0,15,0,0,11551.856000000002,1866.7895,-1,22.024379999999997,0.6,0.6
11561.75,12399,7465,228,12503,12524,13,0,0,13,0,0,11551.856000000002,1867.04,-1,22.024379999999997,0.6,0.6
11562.0,12400,7469,227,12527,12551,11,0,0,11,0,0,11551.856000000002,1867.29,-1,22.024379999999997,0.6,0.6
11562.25,12401,7460,228,12448,12483,17,0,0,17,0,0,11551.856000000002,1867.5405,-1,22.024379999999997,0.6,0.6
11562.5,12402,7466,228,12476,12527,17,0,0,17,0,0,11551.856000000002,1867.7910000000002,-1,22.024379999999997,0.6,0.6
11562.75,12403,7465,227,12470,12527,16,0,0,16,0,0,11551.856000000002,1868.0410000000002,-1,22.024379999999997,0.6,0.6
11563.0,12404,7469,228,12489,12535,16,0,0,16,0,0,11551.856000000002,1868.2915,-1,22.024379999999997,0.6,0.6
11563.25,12405,7463,228,12441,12494,11,0,0,11,0,0,11551.856000000002,1868.5420000000001,-1,22.024379999999997,0.6,0.6
11563.5,12405,7463,228,12436,12498,16,0,0,16,0,0,11551.856000000002,1868.7925,-1,22.024379999999997,0.6,0.6
11563.75,12406,7470,228,12473,12530,20,0,0,20,0,0,11551.856000000002,1869.043,-1,22.024379999999997,0.6,0.6
11564.0,12407,7474,228,12497,12554,16,0,0,16,0,0,11551.856000000002,1869.2875,-1,22.024379999999997,0.6,0.6
11564.25,12408,7476,227,12496,12532,18,0,0,18,0,0,11551.856000000002,1869.5379999999998,-1,22.024379999999997,0.6,0.6
11564.5,12409,7479,228,12517,12564,15,0,0,15,0,0,11551.856000000002,1869.7885,-1,22.024379999999997,0.6,0.6
11564.75,12410,7460,227,12398,12451,12,0,0,12,0,0,11551.856000000002,1870.0385,-1,22.024379999999997,0.6,0.6
11565.0,12411,7473,227,12478,12520,19,0,0,19,0,0,11551.856000000002,1870.289,-1,22.024379999999997,0.6,0.6
11700.0,12414,7510,228,12154,11937,10,0,0,10,0,0,11551.856000000002,2005.289,-1,22.024379999999997,0.6,0.6
11700.2,12415,7507,227,12159,11971,14,0,0,14,0,0,11551.856000000002,2005.4920000000002,-1,22.024379999999997,0.6,0.6
11700.4,12416,7505,227,12120,11946,12,0,0,12,0,0,11551.856000000002,2005.6889999999999,-1,22.024379999999997,0.6,0.6
11700.6,12417,7506,228,12112,11949,11,0,0,11,0,0,11551.856000000002,2005.892,-1,22.024379999999997,0.6,0.6
11700.8,12418,7503,228,12116,11975,13,0,0,13,0,0,11551.856000000002,2006.089,-1,22.024379999999997,0.6,0.6
11701.0,12419,7495,227,12068,11952,10,0,0,10,0,0,11551.856000000002,2006.2920000000001,-1,22.024379999999997,0.6,0.6
11701.2,12420,7474,228,12022,11938,13,0,0,13,0,0,11551.856000000002,2006.489,-1,22.024379999999997,0.6,0.6
11701.4,12421,7457,227,12022,11933,12,0,0,12,0,0,11551.856000000002,2006.692,-1,22.024379999999997,0.6,0.6
11701.6,12422,7413,227,11946,11853,10,0,0,10,0,0,11551.856000000002,2006.8895,-1,22.024379999999997,0.6,0.6
11701.8,12423,7385,227,11922,11830,14,0,0,14,0,0,11551.856000000002,2007.0925,-1,22.024379999999997,0.6,0.6
11702.0,12424,7385,227,11893,11844,17,0,0,17,0,0,11551.856000000002,2007.2895,-1,22.024379999999997,0.6,0.6
11702.2,12424,7429,228,11904,11882,17,0,0,17,0,0,11551.856000000002,2007.4925,-1,22.024379999999997,0.6,0.6
11702.4,12425,7469,227,11902,11883,14,0,0,14,0,0,11551.856000000002,2007.6895,-1,22.024379999999997,0.6,0.6
11702.6,12426,7481,228,11971,11941,9,0,0,9,0,0,11551.856000000002,2007.8925,-1,22.024379999999997,0.6,0.6
11702.8,12427,7463,227,11953,11907,12,0,0,12,0,0,11551.856000000002,2008.0895,-1,22.024379999999997,0.6,0.6
11703.0,12428,7432,227,11969,11918,16,0,0,16,0,0,11551.856000000002,2008.293,-1,22.024379999999997,0.6,0.6
11703.2,12429,7400,227,11926,11866,9,0,0,9,0,0,11551.856000000002,2008.49,-1,22.024379999999997,0.6,0.6
11703.4,12430,7392,227,11895,11854,17,0,0,17,0,0,11551.856000000002,2008.6870000000001,-1,22.024379999999997,0.6,0.6
11703.6,12431,7435,227,11965,11929,14,0,0,14,0,0,11551.856000000002,2008.89,-1,22.024379999999997,0.6,0.6
11703.8,12432,7488,227,11986,11995,10,0,0,10,0,0,11551.856000000002,2009.0875,-1,22.024379999999997,0.6,0.6
11704.0,12433,7517,227,12005,12023,20,0,0,20,0,0,11551.856000000002,2009.2905,-1,22.024379999999997,0.6,0.6
11704.2,12434,7525,227,12054,12036,12,0,0,12,0,0,11551.856000000002,2009.4875,-1,22.024379999999997,0.6,0.6
11704.4,12435,7531,227,12099,12051,15,0,0,15,0,0,11551.856000000002,2009.6905,-1,22.024379999999997,0.6,0.6
11704.6,12436,7527,227,12067,12036,12,0,0,12,0,0,11551.856000000002,2009.888,-1,22.024379999999997,0.6,0.6
11704.8,12437,7527,228,12098,12053,10,0,0,10,0,0,11551.856000000002,2010.0910000000001,-1,22.024379999999997,0.6,0.6
11705.0,12437,7519,227,12045,12014,10,0,0,10,0,0,11551.856000000002,2010.2879999999998,-1,22.024379999999997,0.6,0.6
