MONO,Calibrated,Epoch,I0,I1,MPF_top,MPF_bot,FF1,FF2,FF3,DTC_FF1,DTC_FF2,DTC_FF3,EMISSION,RAMAN,pd1,tempC,Seconds,Seconds.1,SHIFT
11566.75,11567.25,573,7440,225,12492,12609,111,0,0,111,0,0,11568.002,1872.043,-1,22.02438,0.6,0.6,0.5
11567.0,11567.5,574,7444,225,12528,12623,240,0,0,240,0,0,11568.002,1872.2875,-1,22.02438,0.6,0.6,0.5
11567.25,11567.75,574,7444,225,12531,12634,458,0,0,458,0,0,11568.002,1872.538,-1,22.02438,0.6,0.6,0.5
11567.5,11568.0,575,7444,224,12508,12612,773,0,0,773,0,0,11568.002,1872.7885,-1,22.02438,0.6,0.6,0.5
11567.75,11568.25,576,7445,225,12539,12621,1174,0,0,1174,0,0,11568.002,1873.0395,-1,22.02438,0.6,0.6,0.5
11568.0,11568.5,577,7438,224,12507,12589,1275,0,0,1275,0,0,11568.002,1873.29,-1,22.02438,0.6,0.6,0.5
11568.25,11568.75,578,7436,224,12523,12575,1047,0,0,1047,0,0,11568.002,1873.5405,-1,22.02438,0.6,0.6,0.5
11568.5,11569.0,579,7442,224,12536,12585,744,0,0,744,0,0,11568.002,1873.791,-1,22.02438,0.6,0.6,0.5
11568.75,11569.25,580,7443,225,12536,12596,379,0,0,379,0,0,11568.002,1874.0415,-1,22.02438,0.6,0.6,0.5
11569.0,11569.5,581,7431,225,12500,12555,245,0,0,245,0,0,11568.002,1874.2925,-1,22.02438,0.6,0.6,0.5
11569.25,11569.75,582,7432,225,12518,12554,92,0,0,92,0,0,11568.002,1874.537,-1,22.02438,0.6,0.6,0.5
11569.5,11570.0,583,7439,225,12552,12584,48,0,0,48,0,0,11568.002,1874.788,-1,22.02438,0.6,0.6,0.5
11569.75,11570.25,584,7433,225,12525,12551,28,0,0,28,0,0,11568.002,1875.0385,-1,22.02438,0.6,0.6,0.5
11570.0,11570.5,585,7426,225,12483,12513,15,0,0,15,0,0,11568.002,1875.2895,-1,22.02438,0.6,0.6,0.5
11570.25,11570.75,586,7426,225,12482,12517,12,0,0,12,0,0,11568.002,1875.54,-1,22.02438,0.6,0.6,0.5
11570.5,11571.0,587,7432,225,12537,12558,12,0,0,12,0,0,11568.002,1875.7905,-1,22.02438,0.6,0.6,0.5
11570.75,11571.25,587,7436,225,12545,12564,18,0,0,18,0,0,11568.002,1876.0415,-1,22.02438,0.6,0.6,0.5
11571.0,11571.5,588,7430,225,12534,12544,10,0,0,10,0,0,11568.002,1876.292,-1,22.02438,0.6,0.6,0.5
11571.25,11571.75,589,7440,225,12567,12580,23,0,0,23,0,0,11568.002,1876.537,-1,22.02438,0.6,0.6,0.5
11571.5,11572.0,590,7438,225,12555,12554,22,0,0,22,0,0,11568.002,1876.788,-1,22.02438,0.6,0.6,0.5
11571.75,11572.25,591,7438,225,12554,12561,23,0,0,23,0,0,11568.002,1877.0385,-1,22.02438,0.6,0.6,0.5
11572.0,11572.5,592,7426,224,12505,12518,21,0,0,21,0,0,11568.002,1877.2895,-1,22.02438,0.6,0.6,0.5
11572.25,11572.75,593,7437,224,12557,12570,26,0,0,26,0,0,11568.002,1877.54,-1,22.02438,0.6,0.6,0.5
11572.5,11573.0,594,7433,225,12546,12560,21,0,0,21,0,0,11568.002,1877.791,-1,22.02438,0.6,0.6,0.5
11572.75,11573.25,595,7435,225,12565,12566,28,0,0,28,0,0,11568.002,1878.042,-1,22.02438,0.6,0.6,0.5
11573.0,11573.5,596,7426,225,12498,12508,20,0,0,20,0,0,11568.002,1878.2925,-1,22.02438,0.6,0.6,0.5
11573.25,11573.75,597,7425,225,12499,12534,17,0,0,17,0,0,11568.002,1878.5375,-1,22.02438,0.6,0.6,0.5
11573.5,11574.0,598,7430,225,12520,12553,25,0,0,25,0,0,11568.002,1878.7885,-1,22.02438,0.6,0.6,0.5
11573.75,11574.25,599,7429,225,12504,12538,16,0,0,16,0,0,11568.002,1879.0395,-1,22.02438,0.6,0.6,0.5
11574.0,11574.5,599,7437,225,12550,12593,14,0,0,14,0,0,11568.002,1879.2905,-1,22.02438,0.6,0.6,0.5
11574.25,11574.75,600,7418,224,12444,12486,11,0,0,11,0,0,11568.002,1879.541,-1,22.02438,0.6,0.6,0.5
11574.5,11575.0,601,7437,225,12534,12596,12,0,0,12,0,0,11568.002,1879.792,-1,22.02438,0.6,0.6,0.5
11574.75,11575.25,602,7436,224,12516,12555,12,0,0,12,0,0,11568.002,1880.037,-1,22.02438,0.6,0.6,0.5
11575.0,11575.5,603,7452,224,12523,12557,9,0,0,9,0,0,11568.002,1880.288,-1,22.02438,0.6,0.6,0.5
11575.25,11575.75,604,7449,224,12460,12492,10,0,0,10,0,0,11568.002,1880.539,-1,22.02438,0.6,0.6,0.5
11575.5,11576.0,605,7466,225,12512,12523,16,0,0,16,0,0,11568.002,1880.79,-1,22.02438,0.6,0.6,0.5
11575.75,11576.25,606,7472,225,12479,12485,10,0,0,10,0,0,11568.002,1881.041,-1,22.02438,0.6,0.6,0.5
11576.0,11576.5,607,7493,224,12527,12518,7,0,0,7,0,0,11568.002,1881.292,-1,22.02438,0.6,0.6,0.5
11576.25,11576.75,608,7492,225,12483,12453,8,0,0,8,0,0,11568.002,1881.537,-1,22.02438,0.6,0.6,0.5
11576.5,11577.0,609,7513,224,12507,12480,8,0,0,8,0,0,11568.002,1881.788,-1,22.02438,0.6,0.6,0.5
11576.75,11577.25,610,7521,224,12532,12481,10,0,0,10,0,0,11568.002,1882.039,-1,22.02438,0.6,0.6,0.5
11577.0,11577.5,611,7521,224,12551,12494,14,0,0,14,0,0,11568.002,1882.29,-1,22.02438,0.6,0.6,0.5
11577.25,11577.75,612,7523,224,12524,12460,12,0,0,12,0,0,11568.002,1882.541,-1,22.02438,0.6,0.6,0.5
11577.5,11578.0,612,7510,225,12483,12421,16,0,0,16,0,0,11568.002,1882.792,-1,22.02438,0.6,0.6,0.5
11577.75,11578.25,613,7514,224,12508,12451,9,0,0,9,0,0,11568.002,1883.0375,-1,22.02438,0.6,0.6,0.5
11578.0,11578.5,614,7516,225,12503,12437,10,0,0,10,0,0,11568.002,1883.2885,-1,22.02438,0.6,0.6,0.5
11578.25,11578.75,615,7517,225,12506,12443,17,0,0,17,0,0,11568.002,1883.5395,-1,22.02438,0.6,0.6,0.5
11578.5,11579.0,616,7523,225,12537,12476,17,0,0,17,0,0,11568.002,1883.7905,-1,22.02438,0.6,0.6,0.5
11578.75,11579.25,617,7515,224,12490,12454,9,0,0,9,0,0,11568.002,1884.0415,-1,22.02438,0.6,0.6,0.5
11579.0,11579.5,618,7512,224,12482,12445,13,0,0,13,0,0,11568.002,1884.293,-1,22.02438,0.6,0.6,0.5
11579.25,11579.75,619,7523,224,12525,12495,9,0,0,9,0,0,11568.002,1884.538,-1,22.02438,0.6,0.6,0.5
11579.5,11580.0,620,7520,225,12511,12489,16,0,0,16,0,0,11568.002,1884.789,-1,22.02438,0.6,0.6,0.5
11579.75,11580.25,621,7515,225,12475,12463,14,0,0,14,0,0,11568.002,1885.0405,-1,22.02438,0.6,0.6,0.5
11580.0,11580.5,622,7512,225,12469,12453,10,0,0,10,0,0,11568.002,1885.2915,-1,22.02438,0.6,0.6,0.5
11580.25,11580.75,623,7521,224,12507,12507,9,0,0,9,0,0,11568.002,1885.5425,-1,22.02438,0.6,0.6,0.5
11580.5,11581.0,624,7517,225,12502,12488,16,0,0,16,0,0,11568.002,1885.788,-1,22.02438,0.6,0.6,0.5
11580.75,11581.25,625,7515,225,12492,12486,11,0,0,11,0,0,11568.002,1886.039,-1,22.02438,0.6,0.6,0.5
11581.0,11581.5,625,7513,225,12456,12448,13,0,0,13,0,0,11568.002,1886.2905,-1,22.02438,0.6,0.6,0.5
11581.25,11581.75,626,7516,225,12467,12466,13,0,0,13,0,0,11568.002,1886.5415,-1,22.02438,0.6,0.6,0.5
11700.0,11700.5,629,7543,225,12190,11945,13,0,0,13,0,0,11568.002,2005.289,-1,22.02438,0.6,0.6,0.5
11700.2,11700.7,630,7538,225,12183,11969,16,0,0,16,0,0,11568.002,2005.492,-1,22.02438,0.6,0.6,0.5
11700.4,11700.9,631,7530,225,12137,11944,17,0,0,17,0,0,11568.002,2005.689,-1,22.02438,0.6,0.6,0.5
11700.6,11701.1,632,7522,225,12113,11942,12,0,0,12,0,0,11568.002,2005.892,-1,22.02438,0.6,0.6,0.5
11700.8,11701.3,633,7507,225,12093,11946,11,0,0,11,0,0,11568.002,2006.089,-1,22.02438,0.6,0.6,0.5
11701.0,11701.5,634,7469,225,12035,11868,19,0,0,19,0,0,11568.002,2006.292,-1,22.02438,0.6,0.6,0.5
11701.2,11701.7,635,7443,224,12006,11862,6,0,0,6,0,0,11568.002,2006.489,-1,22.02438,0.6,0.6,0.5
11701.4,11701.9,636,7409,224,11921,11814,13,0,0,13,0,0,11568.002,2006.692,-1,22.02438,0.6,0.6,0.5
11701.6,11702.1,637,7426,224,11941,11862,9,0,0,9,0,0,11568.002,2006.8895,-1,22.02438,0.6,0.6,0.5
11701.8,11702.3,638,7496,225,12028,11966,14,0,0,14,0,0,11568.002,2007.0925,-1,22.02438,0.6,0.6,0.5
11702.0,11702.5,639,7532,224,12094,12032,9,0,0,9,0,0,11568.002,2007.2895,-1,22.02438,0.6,0.6,0.5
11702.2,11702.7,640,7515,225,12039,11968,12,0,0,12,0,0,11568.002,2007.4925,-1,22.02438,0.6,0.6,0.5
11702.4,11702.9,640,7486,224,12003,11926,9,0,0,9,0,0,11568.002,2007.6895,-1,22.02438,0.6,0.6,0.5
11702.6,11703.1,641,7453,224,11983,11902,9,0,0,9,0,0,11568.002,2007.8925,-1,22.02438,0.6,0.6,0.5
11702.8,11703.3,642,7416,225,11931,11851,11,0,0,11,0,0,11568.002,2008.0895,-1,22.02438,0.6,0.6,0.5
11703.0,11703.5,643,7437,224,11943,11899,11,0,0,11,0,0,11568.002,2008.293,-1,22.02438,0.6,0.6,0.5
11703.2,11703.7,644,7480,225,11985,11946,7,0,0,7,0,0,11568.002,2008.49,-1,22.02438,0.6,0.6,0.5
11703.4,11703.9,645,7529,225,12048,12022,15,0,0,15,0,0,11568.002,2008.687,-1,22.02438,0.6,0.6,0.5
11703.6,11704.1,646,7560,224,12097,12069,11,0,0,11,0,0,11568.002,2008.89,-1,22.02438,0.6,0.6,0.5
11703.8,11704.3,647,7565,224,12107,12082,12,0,0,12,0,0,11568.002,2009.0875,-1,22.02438,0.6,0.6,0.5
11704.0,11704.5,648,7559,224,12080,12076,11,0,0,11,0,0,11568.002,2009.2905,-1,22.02438,0.6,0.6,0.5
11704.2,11704.7,649,7563,225,12099,12099,6,0,0,6,0,0,11568.002,2009.4875,-1,22.02438,0.6,0.6,0.5
11704.4,11704.9,650,7565,224,12085,12099,10,0,0,10,0,0,11568.002,2009.6905,-1,22.02438,0.6,0.6,0.5
11704.6,11705.1,651,7568,225,12121,12123,16,0,0,16,0,0,11568.002,2009.888,-1,22.02438,0.6,0.6,0.5
11704.8,11705.3,652,7559,225,12095,12102,18,0,0,18,0,0,11568.002,2010.091,-1,22.02438,0.6,0.6,0.5
11705.0,11705.5,652,7551,225,12034,12054,12,0,0,12,0,0,11568.002,2010.288,-1,22.02438,0.6,0.6,0.5
