MONO,Epoch,I0,I1,MPF_top,MPF_bot,FF1,FF2,FF3,DTC_FF1,DTC_FF2,DTC_FF3,EMISSION,RAMAN,pd1,tempC,Seconds,Seconds.1
11558.75,6406,7448,224,12505,12575,92,0,0,92,0,0,11560.07,1864.0425,-1,22.024379999999997,0.6,0.6
11559.0,6407,7458,224,12594,12635,221,0,0,221,0,0,11560.07,1864.293,-1,22.024379999999997,0.6,0.6
11559.25,6408,7464,224,12575,12623,486,0,0,486,0,0,11560.07,1864.537,-1,22.024379999999997,0.6,0.6
11559.5,6409,7469,224,12621,12663,793,0,0,793,0,0,11560.07,1864.7875,-1,22.024379999999997,0.6,0.6
11559.75,6410,7463,224,12550,12615,1170,0,0,1170,0,0,11560.07,1865.0375,-1,22.024379999999997,0.6,0.6
11560.0,6411,7463,224,12579,12620,1673,0,0,1673,0,0,11560.07,1865.2879999999998,-1,22.024379999999997,0.6,0.6
11560.25,6412,7462,224,12572,12616,1820,0,0,1820,0,0,11560.07,1865.5379999999998,-1,22.024379999999997,0.6,0.6
11560.5,6413,7462,224,12569,12621,1514,0,0,1514,0,0,11560.07,1865.7885,-1,22.024379999999997,0.6,0.6
11560.75,6414,7467,224,12603,12651,1216,0,0,1216,0,0,11560.07,1866.0385,-1,22.024379999999997,0.6,0.6
11561.0,6415,7461,224,12562,12618,718,0,0,718,0,0,11560.07,1866.289,-1,22.024379999999997,0.6,0.6
11561.25,6416,7460,224,12559,12610,408,0,0,408,0,0,11560.07,1866.539,-1,22.024379999999997,0.6,0.6
11561.5,6416,7463,224,12581,12625,184,0,0,184,0,0,11560.07,1866.7895,-1,22.024379999999997,0.6,0.6
11561.75,6417,7460,224,12545,12613,67,0,0,67,0,0,11560.07,1867.04,-1,22.024379999999997,0.6,0.6
11562.0,6418,7466,224,12590,12633,38,0,0,38,0,0,11560.07,1867.29,-1,22.024379999999997,0.6,0.6
11562.25,6419,7459,224,12565,12622,24,0,0,24,0,0,11560.07,1867.5405,-1,22.024379999999997,0.6,0.6
11562.5,6420,7462,223,12574,12612,24,0,0,24,0,0,11560.07,1867.7910000000002,-1,22.024379999999997,0.6,0.6
11562.75,6421,7454,224,12528,12568,22,0,0,22,0,0,11560.07,1868.0410000000002,-1,22.024379999999997,0.6,0.6
11563.0,6422,7460,223,12561,12608,28,0,0,28,0,0,11560.07,1868.2915,-1,22.024379999999997,0.6,0.6
11563.25,6423,7462,223,12573,12626,51,0,0,51,0,0,11560.07,1868.5420000000001,-1,22.024379999999997,0.6,0.6
11563.5,6424,7469,224,12599,12634,57,0,0,57,0,0,11560.07,1868.7925,-1,22.024379999999997,0.6,0.6
11563.75,6425,7466,223,12568,12600,70,0,0,70,0,0,11560.07,1869.043,-1,22.024379999999997,0.6,0.6
11564.0,6426,7470,224,12600,12629,73,0,0,73,0,0,11560.07,1869.2875,-1,22.024379999999997,0.6,0.6
11564.25,6427,7459,223,12543,12594,92,0,0,92,0,0,11560.07,1869.5379999999998,-1,22.024379999999997,0.6,0.6
11564.5,6428,7470,224,12594,12623,110,0,0,110,0,0,11560.07,1869.7885,-1,22.024379999999997,0.6,0.6
11564.75,6429,7465,224,12563,12595,117,0,0,117,0,0,11560.07,1870.0385,-1,22.024379999999997,0.6,0.6
11565.0,6429,7473,223,12615,12634,130,0,0,130,0,0,11560.07,1870.289,-1,22.024379999999997,0.6,0.6
11565.25,6430,7469,224,12586,12611,140,0,0,140,0,0,11560.07,1870.5395,-1,22.024379999999997,0.6,0.6
11565.5,6431,7470,224,12604,12625,156,0,0,156,0,0,11560.07,1870.79,-1,22.024379999999997,0.6,0.6
11565.75,6432,7462,224,12556,12584,134,0,0,134,0,0,11560.07,1871.0405,-1,22.024379999999997,0.6,0.6
11566.0,6433,7466,224,12579,12592,129,0,0,129,0,0,11560.07,1871.2910000000002,-1,22.024379999999997,0.6,0.6
11566.25,6434,7469,224,12600,12611,96,0,0,96,0,0,11560.07,1871.5415,-1,22.024379999999997,0.6,0.6
11566.5,6435,7465,224,12582,12598,104,0,0,104,0,0,11560.07,1871.7920000000001,-1,22.024379999999997,0.6,0.6
11566.75,6436,7456,224,12532,12571,86,0,0,86,0,0,11560.07,1872.043,-1,22.024379999999997,0.6,0.6
11567.0,6437,7463,224,12554,12569,77,0,0,77,0,0,11560.07,1872.2875,-1,22.024379999999997,0.6,0.6
11567.25,6438,7470,223,12576,12584,76,0,0,76,0,0,11560.07,1872.5379999999998,-1,22.024379999999997,0.6,0.6
11567.5,6439,7470,224,12608,12607,81,0,0,81,0,0,11560.07,1872.7885,-1,22.024379999999997,0.6,0.6
11567.75,6440,7469,224,12620,12597,76,0,0,76,0,0,11560.07,1873.0395,-1,22.024379999999997,0.6,0.6
11568.0,6441,7465,224,12578,12561,83,0,0,83,0,0,11560.07,1873.29,-1,22.024379999999997,0.6,0.6
11568.25,6442,7467,224,12588,12578,87,0,0,87,0,0,11560.07,1873.5405,-1,22.024379999999997,0.6,0.6
11568.5,6442,7462,224,12570,12574,73,0,0,73,0,0,11560.07,1873.7910000000002,-1,22.024379999999997,0.6,0.6
11568.75,6443,7454,224,12546,12531,67,0,0,67,0,0,11560.07,1874.0415,-1,22.024379999999997,0.6,0.6
11569.0,6444,7462,224,12580,12555,65,0,0,65,0,0,11560.07,1874.2925,-1,22.024379999999997,0.6,0.6
11569.25,6445,7465,224,12569,12545,70,0,0,70,0,0,11560.07,1874.537,-1,22.024379999999997,0.6,0.6
11569.5,6446,7470,224,12629,12587,67,0,0,67,0,0,11560.07,1874.7879999999998,-1,22.024379999999997,0.6,0.6
11569.75,6447,7469,225,12632,12597,67,0,0,67,0,0,11560.07,1875.0385,-1,22.024379999999997,0.6,0.6
11570.0,6448,7464,224,12596,12556,60,0,0,60,0,0,11560.07,1875.2895,-1,22.024379999999997,0.6,0.6
11570.25,6449,7462,224,12600,12544,51,0,0,51,0,0,11560.07,1875.54,-1,22.024379999999997,0.6,0.6
11570.5,6450,7465,224,12621,12557,55,0,0,55,0,0,11560.07,1875.7905,-1,22.024379999999997,0.6,0.6
11570.75,6451,7472,224,12634,12595,59,0,0,59,0,0,11560.07,1876.0415,-1,22.024379999999997,0.6,0.6
11571.0,6452,7466,224,12620,12576,63,0,0,63,0,0,11560.07,1876.2920000000001,-1,22.024379999999997,0.6,0.6
11571.25,6453,7466,224,12623,12577,54,0,0,54,0,0,11560.07,1876.537,-1,22.024379999999997,0.6,0.6
11571.5,6454,7465,224,12614,12546,47,0,0,47,0,0,11560.07,1876.7879999999998,-1,22.024379999999997,0.6,0.6
11571.75,6455,7463,224,12609,12557,51,0,0,51,0,0,11560.07,1877.0385,-1,22.024379999999997,0.6,0.6
11572.0,6455,7461,224,12604,12553,59,0,0,59,0,0,11560.07,1877.2895,-1,22.024379999999997,0.6,0.6
11572.25,6456,7465,224,12614,12553,58,0,0,58,0,0,11560.07,1877.54,-1,22.024379999999997,0.6,0.6
