MONO,Epoch,I0,I1,MPF_top,MPF_bot,FF1,FF2,FF3,DTC_FF1,DTC_FF2,DTC_FF3,EMISSION,RAMAN,pd1,tempC,Seconds,Seconds.1
11551.5,11632,7421,227,12526,12633,18,0,0,18,0,0,11552.848,1856.7920000000001,-1,22.024379999999997,0.6,0.6
11551.75,11633,7420,228,12515,12613,47,0,0,47,0,0,11552.848,1857.0420000000001,-1,22.024379999999997,0.6,0.6
11552.0,11634,7434,228,12589,12652,155,0,0,155,0,0,11552.848,1857.2920000000001,-1,22.024379999999997,0.6,0.6
11552.25,11635,7430,228,12548,12610,339,0,0,339,0,0,11552.848,1857.5415,-1,22.024379999999997,0.6,0.6
11552.5,11636,7418,228,12536,12559,683,0,0,683,0,0,11552.848,1857.7915,-1,22.024379999999997,0.6,0.6
11552.75,11637,7430,228,12591,12602,1296,0,0,1296,0,0,11552.848,1858.0415,-1,22.024379999999997,0.6,0.6
11553.0,11638,7427,228,12593,12583,1646,0,0,1646,0,0,11552.848,1858.2915,-1,22.024379999999997,0.6,0.6
11553.25,11639,7425,228,12580,12581,1568,0,0,1568,0,0,11552.848,1858.5415,-1,22.024379999999997,0.6,0.6
11553.5,11640,7423,228,12582,12569,1154,0,0,1154,0,0,11552.848,1858.7915,-1,22.024379999999997,0.6,0.6
11553.75,11641,7422,227,12562,12558,704,0,0,704,0,0,11552.848,1859.0410000000002,-1,22.024379999999997,0.6,0.6
11554.0,11642,7418,228,12548,12555,380,0,0,380,0,0,11552.848,1859.2910000000002,-1,22.024379999999997,0.6,0.6
11554.25,11643,7420,228,12556,12562,161,0,0,161,0,0,11552.848,1859.5410000000002,-1,22.024379999999997,0.6,0.6
11554.5,11644,7431,228,12639,12626,63,0,0,63,0,0,11552.848,1859.7910000000002,-1,22.024379999999997,0.6,0.6
11554.75,11644,7423,228,12582,12591,21,0,0,21,0,0,11552.848,1860.0410000000002,-1,22.024379999999997,0.6,0.6
11555.0,11645,7425,228,12585,12588,14,0,0,14,0,0,11552.848,1860.2910000000002,-1,22.024379999999997,0.6,0.6
11555.25,11646,7421,227,12549,12566,3,0,0,3,0,0,11552.848,1860.5410000000002,-1,22.024379999999997,0.6,0.6
11555.5,11647,7417,228,12538,12546,5,0,0,5,0,0,11552.848,1860.7910000000002,-1,22.024379999999997,0.6,0.6
11555.75,11648,7426,228,12600,12605,16,0,0,16,0,0,11552.848,1861.0410000000002,-1,22.024379999999997,0.6,0.6
11556.0,11649,7424,228,12547,12582,10,0,0,10,0,0,11552.848,1861.2915,-1,22.024379999999997,0.6,0.6
11556.25,11650,7429,228,12593,12602,8,0,0,8,0,0,11552.848,1861.5415,-1,22.024379999999997,0.6,0.6
11556.5,11651,7417,228,12527,12544,7,0,0,7,0,0,11552.848,1861.7915,-1,22.024379999999997,0.6,0.6
11556.75,11652,7421,227,12545,12552,14,0,0,14,0,0,11552.848,1862.0415,-1,22.024379999999997,0.6,0.6
11557.0,11653,7425,227,12562,12574,15,0,0,15,0,0,11552.848,1862.2915,-1,22.024379999999997,0.6,0.6
11557.25,11654,7430,228,12607,12600,27,0,0,27,0,0,11552.848,1862.5415,-1,22.024379999999997,0.6,0.6
11557.5,11655,7423,227,12571,12581,25,0,0,25,0,0,11552.848,1862.7920000000001,-1,22.024379999999997,0.6,0.6
11557.75,11656,7419,228,12550,12544,25,0,0,25,0,0,11552.848,1863.0420000000001,-1,22.024379999999997,0.6,0.6
11558.0,11657,7429,228,12602,12585,30,0,0,30,0,0,11552.848,1863.2920000000001,-1,22.024379999999997,0.6,0.6
11558.25,11657,7426,228,12567,12544,18,0,0,18,0,0,11552.848,1863.5425,-1,22.024379999999997,0.6,0.6
11558.5,11658,7429,228,12555,12548,16,0,0,16,0,0,11552.848,1863.7925,-1,22.024379999999997,0.6,0.6
11558.75,11659,7429,227,12592,12583,27,0,0,27,0,0,11552.848,1864.0425,-1,22.024379999999997,0.6,0.6
11559.0,11660,7428,228,12586,12575,16,0,0,16,0,0,11552.848,1864.293,-1,22.024379999999997,0.6,0.6
11559.25,11661,7428,228,12580,12553,26,0,0,26,0,0,11552.848,1864.537,-1,22.024379999999997,0.6,0.6
11559.5,11662,7427,228,12595,12583,11,0,0,11,0,0,11552.848,1864.7875,-1,22.024379999999997,0.6,0.6
11559.75,11663,7418,228,12520,12503,10,0,0,10,0,0,11552.848,1865.0375,-1,22.024379999999997,0.6,0.6
