MONO,Epoch,I0,I1,MPF_top,MPF_bot,FF1,FF2,FF3,DTC_FF1,DTC_FF2,DTC_FF3,EMISSION,RAMAN,pd1,tempC,Seconds,Seconds.1
11551.75,11452,7470,227,12497,12600,43,0,0,43,0,0,11553.096000000001,1857.0420000000001,-1,22.024379999999997,0.6,0.6
11552.0,11453,7480,228,12544,12661,134,0,0,134,0,0,11553.096000000001,1857.2920000000001,-1,22.024379999999997,0.6,0.6
11552.25,11454,7481,228,12554,12663,305,0,0,305,0,0,11553.096000000001,1857.5415,-1,22.024379999999997,0.6,0.6
11552.5,11454,7480,227,12544,12642,537,0,0,537,0,0,11553.096000000001,1857.7915,-1,22.024379999999997,0.6,0.6
11552.75,11455,7479,228,12541,12628,873,0,0,873,0,0,11553.096000000001,1858.0415,-1,22.024379999999997,0.6,0.6
11553.0,11456,7480,228,12582,12634,1356,0,0,1356,0,0,11553.096000000001,1858.2915,-1,22.024379999999997,0.6,0.6
11553.25,11457,7468,227,12507,12562,1689,0,0,1689,0,0,11553.096000000001,1858.5415,-1,22.024379999999997,0.6,0.6
11553.5,11458,7477,228,12559,12597,1562,0,0,1562,0,0,11553.096000000001,1858.7915,-1,22.024379999999997,0.6,0.6
11553.75,11459,7476,227,12560,12606,1134,0,0,1134,0,0,11553.096000000001,1859.0410000000002,-1,22.024379999999997,0.6,0.6
11554.0,11460,7476,228,12571,12585,754,0,0,754,0,0,11553.096000000001,1859.2910000000002,-1,22.024379999999997,0.6,0.6
11554.25,11461,7479,228,12590,12580,365,0,0,365,0,0,11553.096000000001,1859.5410000000002,-1,22.024379999999997,0.6,0.6
11554.5,11462,7489,228,12616,12594,149,0,0,149,0,0,11553.096000000001,1859.7910000000002,-1,22.024379999999997,0.6,0.6
11554.75,11463,7474,228,12580,12567,74,0,0,74,0,0,11553.096000000001,1860.0410000000002,-1,22.024379999999997,0.6,0.6
11555.0,11464,7486,228,12599,12589,25,0,0,25,0,0,11553.096000000001,1860.2910000000002,-1,22.024379999999997,0.6,0.6
11555.25,11465,7477,228,12572,12561,8,0,0,8,0,0,11553.096000000001,1860.5410000000002,-1,22.024379999999997,0.6,0.6
11555.5,11466,7474,228,12584,12539,4,0,0,4,0,0,11553.096000000001,1860.7910000000002,-1,22.024379999999997,0.6,0.6
11555.75,11467,7470,227,12591,12527,9,0,0,9,0,0,11553.096000000001,1861.0410000000002,-1,22.024379999999997,0.6,0.6
11556.0,11467,7474,228,12583,12507,6,0,0,6,0,0,11553.096000000001,1861.2915,-1,22.024379999999997,0.6,0.6
11556.25,11468,7478,227,12642,12536,11,0,0,11,0,0,11553.096000000001,1861.5415,-1,22.024379999999997,0.6,0.6
11556.5,11469,7485,228,12638,12561,17,0,0,17,0,0,11553.096000000001,1861.7915,-1,22.024379999999997,0.6,0.6
11556.75,11470,7475,228,12597,12532,16,0,0,16,0,0,11553.096000000001,1862.0415,-1,22.024379999999997,0.6,0.6
11557.0,11471,7482,228,12615,12555,17,0,0,17,0,0,11553.096000000001,1862.2915,-1,22.024379999999997,0.6,0.6
11557.25,11472,7483,228,12621,12574,24,0,0,24,0,0,11553.096000000001,1862.5415,-1,22.024379999999997,0.6,0.6
11557.5,11473,7476,228,12570,12539,15,0,0,15,0,0,11553.096000000001,1862.7920000000001,-1,22.024379999999997,0.6,0.6
11557.75,11474,7485,227,12620,12579,24,0,0,24,0,0,11553.096000000001,1863.0420000000001,-1,22.024379999999997,0.6,0.6
11558.0,11475,7490,228,12635,12608,16,0,0,16,0,0,11553.096000000001,1863.2920000000001,-1,22.024379999999997,0.6,0.6
11558.25,11476,7478,227,12578,12574,27,0,0,27,0,0,11553.096000000001,1863.5425,-1,22.024379999999997,0.6,0.6
11558.5,11477,7483,228,12601,12586,19,0,0,19,0,0,11553.096000000001,1863.7925,-1,22.024379999999997,0.6,0.6
