MONO,Epoch,I0,I1,MPF_top,MPF_bot,FF1,FF2,FF3,DTC_FF1,DTC_FF2,DTC_FF3,RAMAN,pd1,tempC,Seconds,Seconds.1,emission,SHIFT,Calibrated,Concentration Sum,Energy Transfer,RIXS
11554.25,9566,7405,228,12546,12627,73,0,0,73.0,0,0,1859.541,-1,22.02438,0.6,0.6,11555.5,145.64999999999964,11699.9,10388,144.4,9.48999221820638e-07
11554.5,9567,7412,228,12583,12643,275,0,0,275.0,0,0,1859.791,-1,22.02438,0.6,0.6,11555.5,145.64999999999964,11700.15,10388,144.65,3.57162078956561e-06
11554.75,9568,7418,227,12615,12645,711,0,0,711.0,0,0,1860.041,-1,22.02438,0.6,0.6,11555.5,145.64999999999964,11700.4,10388,144.9,9.226794132599855e-06
11555.0,9569,7421,227,12610,12666,1316,0,0,1316.0,0,0,1860.291,-1,22.02438,0.6,0.6,11555.5,145.64999999999964,11700.65,10388,145.15,1.7071100406764368e-05
11555.25,9570,7417,228,12597,12646,2101,0,0,2066.1061,0,0,1860.541,-1,22.02438,0.6,0.6,11555.5,145.64999999999964,11700.9,10388,145.4,2.681590139191003e-05
11555.5,9571,7420,227,12603,12648,3003,0,0,3006.2,0,0,1860.791,-1,22.02438,0.6,0.6,11555.5,145.64999999999964,11701.15,10388,145.65,3.9001564110361635e-05
11555.75,9572,7411,228,12559,12612,3134,0,0,3143.0002,0,0,1861.041,-1,22.02438,0.6,0.6,11555.5,145.64999999999964,11701.4,10388,145.9,4.08258893743427e-05
11556.0,9573,7408,227,12551,12594,2565,0,0,2549.3054,0,0,1861.2915,-1,22.02438,0.6,0.6,11555.5,145.64999999999964,11701.65,10388,146.15,3.312752201618249e-05
11556.25,9574,7403,228,12541,12591,1605,0,0,1605.0,0,0,1861.5415,-1,22.02438,0.6,0.6,11555.5,145.64999999999964,11701.9,10388,146.4,2.0870619790049627e-05
11556.5,9575,7416,227,12598,12617,974,0,0,974.0,0,0,1861.7915,-1,22.02438,0.6,0.6,11555.5,145.64999999999964,11702.15,10388,146.65,1.264320834885826e-05
11556.75,9576,7410,228,12583,12600,418,0,0,418.0,0,0,1862.0415,-1,22.02438,0.6,0.6,11555.5,145.64999999999964,11702.4,10388,146.9,5.4303288804636515e-06
11557.0,9577,7416,228,12599,12635,170,0,0,170.0,0,0,1862.2915,-1,22.02438,0.6,0.6,11555.5,145.64999999999964,11702.65,10388,147.15,2.2067201430245422e-06
11557.25,9577,7411,227,12588,12621,79,0,0,79.0,0,0,1862.5415,-1,22.02438,0.6,0.6,11555.5,145.64999999999964,11702.9,10388,147.4,1.026167691803861e-06
11557.5,9578,7409,227,12565,12608,36,0,0,36.0,0,0,1862.792,-1,22.02438,0.6,0.6,11555.5,145.64999999999964,11703.15,10388,147.65,4.677469507706209e-07
11557.75,9579,7411,228,12558,12592,21,0,0,21.0,0,0,1863.042,-1,22.02438,0.6,0.6,11555.5,145.64999999999964,11703.4,10388,147.9,2.7277875351748203e-07
11558.0,9580,7419,228,12613,12636,21,0,0,21.0,0,0,1863.292,-1,22.02438,0.6,0.6,11555.5,145.64999999999964,11703.65,10388,148.15,2.7248461279391553e-07
11558.25,9581,7415,227,12610,12629,13,0,0,13.0,0,0,1863.5425,-1,22.02438,0.6,0.6,11555.5,145.64999999999964,11703.9,10388,148.4,1.6877194522130026e-07
11558.5,9582,7419,227,12616,12637,20,0,0,20.0,0,0,1863.7925,-1,22.02438,0.6,0.6,11555.5,145.64999999999964,11704.15,10388,148.65,2.595091550418243e-07
11558.75,9583,7413,227,12596,12643,19,0,0,19.0,0,0,1864.0425,-1,22.02438,0.6,0.6,11555.5,145.64999999999964,11704.4,10388,148.9,2.467332389305989e-07
11559.0,9584,7404,227,12527,12577,21,0,0,21.0,0,0,1864.293,-1,22.02438,0.6,0.6,11555.5,145.64999999999964,11704.65,10388,149.15,2.730366480710507e-07
11559.25,9585,7407,227,12538,12603,29,0,0,29.0,0,0,1864.537,-1,22.02438,0.6,0.6,11555.5,145.64999999999964,11704.9,10388,149.4,3.768978953449679e-07
11559.5,9586,7411,228,12539,12589,30,0,0,30.0,0,0,1864.7875,-1,22.02438,0.6,0.6,11555.5,145.64999999999964,11705.15,10388,149.65,3.8968393359640294e-07
11559.75,9587,7419,227,12616,12647,41,0,0,41.0,0,0,1865.0375,-1,22.02438,0.6,0.6,11555.5,145.64999999999964,11705.4,10388,149.9,5.319937678357399e-07
11560.0,9588,7418,228,12584,12626,34,0,0,34.0,0,0,1865.288,-1,22.02438,0.6,0.6,11555.5,145.64999999999964,11705.65,10388,150.15,4.412250358767863e-07
11560.25,9589,7414,227,12597,12632,51,0,0,51.0,0,0,1865.538,-1,22.02438,0.6,0.6,11555.5,145.64999999999964,11705.9,10388,150.4,6.6219462829795e-07
11560.5,9590,7418,227,12589,12627,52,0,0,52.0,0,0,1865.7885,-1,22.02438,0.6,0.6,11555.5,145.64999999999964,11706.15,10388,150.65,6.74814760752732e-07
