MONO,Epoch,I0,I1,MPF_top,MPF_bot,FF1,FF2,FF3,DTC_FF1,DTC_FF2,DTC_FF3,RAMAN,pd1,tempC,Seconds,Seconds.1,emission,SHIFT,Calibrated,Concentration Sum,Energy Transfer,RIXS
11565.0,1831,7494,225,12381,12526,87,0,0,87,0,0,1870.289,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11565.3,4653,-0.95,2.4950112679870955e-06
11565.25,1832,7506,225,12438,12549,167,0,0,167,0,0,1870.5395,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11565.55,4653,-0.7,4.781617789084156e-06
11565.5,1833,7504,225,12454,12542,298,0,0,298,0,0,1870.79,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11565.8,4653,-0.45,8.534741783392149e-06
11565.75,1834,7504,224,12433,12531,368,0,0,368,0,0,1871.0405,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11566.05,4653,-0.2,1.0539546900296345e-05
11566.0,1835,7504,225,12446,12528,494,0,0,494,0,0,1871.291,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11566.3,4653,0.05,1.4148196110723896e-05
11566.25,1836,7507,224,12453,12527,562,0,0,562,0,0,1871.5415,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11566.55,4653,0.3,1.6089288796464226e-05
11566.5,1837,7500,224,12405,12472,431,0,0,431,0,0,1871.792,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11566.8,4653,0.55,1.2350454903646392e-05
11566.75,1837,7505,224,12432,12506,371,0,0,371,0,0,1872.043,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11567.05,4653,0.8,1.0624051334499689e-05
11567.0,1838,7499,225,12417,12499,228,0,0,228,0,0,1872.2875,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11567.3,4653,1.05,6.534290538115161e-06
11567.25,1839,7494,224,12400,12463,113,0,0,113,0,0,1872.538,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11567.55,4653,1.3,3.2406468193395607e-06
11567.5,1840,7501,224,12449,12513,60,0,0,60,0,0,1872.7885,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11567.8,4653,1.55,1.7190916560362337e-06
11567.75,1841,7495,224,12406,12498,38,0,0,38,0,0,1873.0395,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11568.05,4653,1.8,1.089629636320338e-06
11568.0,1842,7500,224,12431,12519,21,0,0,21,0,0,1873.29,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11568.3,4653,2.05,6.017623038899635e-07
11568.25,1843,7504,225,12436,12518,15,0,0,15,0,0,1873.5405,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11568.55,4653,2.3,4.2960109647947056e-07
11568.5,1844,7498,224,12426,12493,11,0,0,11,0,0,1873.791,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11568.8,4653,2.55,3.15292903954845e-07
11568.75,1845,7505,224,12452,12515,15,0,0,15,0,0,1874.0415,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11569.05,4653,2.8,4.2954385449459654e-07
11569.0,1846,7491,224,12393,12452,15,0,0,15,0,0,1874.2925,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11569.3,4653,3.05,4.303466330238883e-07
11569.25,1847,7492,224,12409,12459,12,0,0,12,0,0,1874.537,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11569.55,4653,3.3,3.4423135376208723e-07
11569.5,1848,7497,224,12434,12499,22,0,0,22,0,0,1874.788,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11569.8,4653,3.55,6.306699196621122e-07
11569.75,1849,7495,224,12421,12486,26,0,0,26,0,0,1875.0385,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11570.05,4653,3.8,7.455360669560206e-07
11570.0,1850,7486,224,12393,12452,17,0,0,17,0,0,1875.2895,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11570.3,4653,4.05,4.880519429663648e-07
11570.25,1850,7500,224,12447,12495,36,0,0,36,0,0,1875.54,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11570.55,4653,4.3,1.031592520954223e-06
11570.5,1851,7498,225,12420,12482,25,0,0,25,0,0,1875.7905,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11570.8,4653,4.55,7.165747817155569e-07
11570.75,1852,7495,225,12435,12490,29,0,0,29,0,0,1876.0415,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11571.05,4653,4.8,8.315594592971e-07
11571.0,1853,7499,224,12431,12498,21,0,0,21,0,0,1876.292,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11571.3,4653,5.05,6.018425495632386e-07
11571.25,1854,7500,224,12464,12502,20,0,0,20,0,0,1876.537,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11571.55,4653,5.3,5.731069560856795e-07
11571.5,1855,7504,224,12481,12529,25,0,0,25,0,0,1876.788,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11571.8,4653,5.55,7.160018274657842e-07
11571.75,1856,7496,225,12433,12483,8,0,0,8,0,0,1877.0385,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11572.05,4653,5.8,2.2936511049320152e-07
11572.0,1857,7492,224,12402,12467,9,0,0,9,0,0,1877.2895,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11572.3,4653,6.05,2.5817351532156545e-07
11572.25,1858,7498,224,12459,12507,6,0,0,6,0,0,1877.54,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11572.55,4653,6.3,1.7197794761173365e-07
11572.5,1859,7494,224,12436,12478,14,0,0,14,0,0,1877.791,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11572.8,4653,6.55,4.0149606611286593e-07
11572.75,1860,7491,224,12420,12449,6,0,0,6,0,0,1878.042,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11573.05,4653,6.8,1.721386532095553e-07
11573.0,1861,7500,224,12465,12489,5,0,0,5,0,0,1878.2925,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11573.3,4653,7.05,1.4327673902141987e-07
11573.25,1862,7493,224,12426,12439,5,0,0,5,0,0,1878.5375,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11573.55,4653,7.3,1.434105889043973e-07
11573.5,1862,7503,225,12465,12498,6,0,0,6,0,0,1878.7885,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11573.8,4653,7.55,1.718633414891082e-07
11573.75,1863,7487,224,12398,12424,6,0,0,6,0,0,1879.0395,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11574.05,4653,7.8,1.7223061990019752e-07
11574.0,1864,7485,224,12379,12421,12,0,0,12,0,0,1879.2905,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11574.3,4653,8.05,3.4455328021183133e-07
11574.25,1865,7499,224,12455,12487,8,0,0,8,0,0,1879.541,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11574.55,4653,8.3,2.292733522145671e-07
11574.5,1866,7491,224,12419,12463,13,0,0,13,0,0,1879.792,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11574.8,4653,8.55,3.7296708195403654e-07
11574.75,1867,7497,224,12463,12499,14,0,0,14,0,0,1880.037,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11575.05,4653,8.8,4.013354034213442e-07
11575.0,1868,7501,224,12488,12500,14,0,0,14,0,0,1880.288,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11575.3,4653,9.05,4.011213864084545e-07
11575.25,1869,7496,224,12451,12476,13,0,0,13,0,0,1880.539,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11575.55,4653,9.3,3.7271830455145244e-07
11575.5,1870,7488,225,12422,12450,14,0,0,14,0,0,1880.79,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11575.8,4653,9.55,4.0181777770430257e-07
11575.75,1871,7494,224,12448,12486,15,0,0,15,0,0,1881.041,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11576.05,4653,9.8,4.301743565494992e-07
11576.0,1872,7496,224,12450,12473,10,0,0,10,0,0,1881.292,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11576.3,4653,10.05,2.867063881165019e-07
11576.25,1873,7494,224,12445,12477,17,0,0,17,0,0,1881.537,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11576.55,4653,10.3,4.875309374227658e-07
11576.5,1874,7487,224,12439,12451,20,0,0,20,0,0,1881.788,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11576.8,4653,10.55,5.741020663339917e-07
11576.75,1875,7490,224,12403,12438,21,0,0,21,0,0,1882.039,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11577.05,4653,10.8,6.025657248564386e-07
11577.0,1875,7494,224,12448,12489,17,0,0,17,0,0,1882.29,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11577.3,4653,11.05,4.875309374227658e-07
11577.25,1876,7492,224,12433,12465,18,0,0,18,0,0,1882.541,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11577.55,4653,11.3,5.163470306431309e-07
11577.5,1877,7494,224,12439,12475,17,0,0,17,0,0,1882.792,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11577.8,4653,11.55,4.875309374227658e-07
11577.75,1878,7484,224,12397,12438,15,0,0,15,0,0,1883.0375,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11578.05,4653,11.8,4.307491485812329e-07
11578.0,1879,7488,224,12427,12454,17,0,0,17,0,0,1883.2885,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11578.3,4653,12.05,4.879215872123674e-07
11578.25,1880,7496,224,12456,12482,15,0,0,15,0,0,1883.5395,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11578.55,4653,12.3,4.300595821747528e-07
11578.5,1881,7490,224,12434,12459,10,0,0,10,0,0,1883.7905,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11578.8,4653,12.55,2.86936059455447e-07
11578.75,1882,7490,224,12445,12455,6,0,0,6,0,0,1884.0415,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11579.05,4653,12.8,1.721616356732682e-07
11579.0,1883,7491,224,12446,12459,8,0,0,8,0,0,1884.293,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11579.3,4653,13.05,2.2951820427940706e-07
11579.25,1884,7488,224,12416,12441,6,0,0,6,0,0,1884.538,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11579.55,4653,13.3,1.7220761901612965e-07
11579.5,1885,7492,224,12461,12473,14,0,0,14,0,0,1884.789,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11579.8,4653,13.55,4.0160324605576846e-07
11700.0,1888,7514,224,12136,11905,7,0,0,7,0,0,2005.289,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11700.3,4653,134.05,2.0021370238553483e-07
11700.2,1889,7511,225,12132,11925,9,0,0,9,0,0,2005.492,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11700.5,4653,134.25,2.5752043360260526e-07
11700.4,1890,7508,224,12111,11921,16,0,0,16,0,0,2005.689,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11700.7,4653,134.45,4.579970346981988e-07
11700.6,1890,7503,224,12079,11911,14,0,0,14,0,0,2005.892,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11700.9,4653,134.65,4.010144634745858e-07
11700.8,1891,7493,225,12067,11923,7,0,0,7,0,0,2006.089,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11701.1,4653,134.85,2.0077482446615624e-07
11701.0,1892,7467,224,12000,11873,13,0,0,13,0,0,2006.292,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11701.3,4653,135.05,3.74165851200976e-07
11701.2,1893,7440,224,11992,11865,10,0,0,10,0,0,2006.489,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11701.5,4653,135.25,2.888643931883465e-07
11701.4,1894,7394,224,11893,11776,8,0,0,8,0,0,2006.692,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11701.7,4653,135.45,2.3252919505775473e-07
11701.6,1895,7392,224,11896,11826,14,0,0,14,0,0,2006.8895,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11701.9,4653,135.65,4.0703619040176103e-07
11701.8,1896,7433,224,11935,11903,10,0,0,10,0,0,2007.0925,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11702.1,4653,135.85,2.891364301521994e-07
11702.0,1897,7488,224,11984,11975,10,0,0,10,0,0,2007.2895,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11702.3,4653,136.05,2.870126983602161e-07
11702.2,1898,7496,224,11971,11962,4,0,0,4,0,0,2007.4925,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11702.5,4653,136.25,1.1468255524660076e-07
11702.4,1899,7491,224,12004,11991,6,0,0,6,0,0,2007.6895,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11702.7,4653,136.45,1.721386532095553e-07
11702.6,1900,7455,224,11970,11937,8,0,0,8,0,0,2007.8925,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11702.9,4653,136.65,2.3062654168437805e-07
11702.8,1901,7417,224,11897,11875,10,0,0,10,0,0,2008.0895,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11703.1,4653,136.85,2.8976015711491146e-07
11703.0,1902,7393,224,11845,11844,11,0,0,11,0,0,2008.293,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11703.3,4653,137.05,3.1977089055233707e-07
11703.2,1903,7422,224,11889,11893,14,0,0,14,0,0,2008.49,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11703.5,4653,137.25,4.0539093498380723e-07
11703.4,1903,7470,224,11926,11968,6,0,0,6,0,0,2008.687,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11703.7,4653,137.45,1.7262257713424082e-07
11703.6,1904,7518,224,11982,12041,9,0,0,9,0,0,2008.89,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11703.9,4653,137.65,2.572806566625656e-07
11703.8,1905,7537,224,12042,12072,7,0,0,7,0,0,2009.0875,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11704.1,4653,137.85,1.996027278393139e-07
11704.0,1906,7542,224,12044,12086,11,0,0,11,0,0,2009.2905,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11704.3,4653,138.05,3.1345348632371094e-07
11704.2,1907,7545,224,12083,12097,14,0,0,14,0,0,2009.4875,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11704.5,4653,138.25,3.9878217620275913e-07
11704.4,1908,7535,224,12025,12052,12,0,0,12,0,0,2009.6905,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11704.7,4653,138.45,3.4226692798746617e-07
11704.6,1909,7530,225,12016,12037,9,0,0,9,0,0,2009.888,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11704.9,4653,138.65,2.568706476479639e-07
11704.8,1910,7537,224,12040,12070,15,0,0,15,0,0,2010.091,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11705.1,4653,138.85,4.27720131084244e-07
11705.0,1911,7530,224,12019,12041,18,0,0,18,0,0,2010.288,-1,22.02438,0.6,0.6,11566.25,0.2999999999992724,11705.3,4653,139.05,5.137412952959278e-07
