MONO,Epoch,I0,I1,MPF_top,MPF_bot,FF1,FF2,FF3,DTC_FF1,DTC_FF2,DTC_FF3,RAMAN,pd1,tempC,Seconds,Seconds.1,emission,SHIFT,Calibrated,Concentration Sum,Energy Transfer,RIXS
11554.5,9385,7458,228,12518,12631,70,0,0,70,0,0,1859.791,-1,22.02438,0.6,0.6,11555.75,0.1000000000003638,11554.6,8147,-1.15,1.152067551447963e-06
11554.75,9386,7465,228,12568,12637,182,0,0,182,0,0,1860.041,-1,22.02438,0.6,0.6,11555.75,0.1000000000003638,11554.85,8147,-0.9,2.9925668421456343e-06
11555.0,9387,7469,228,12613,12639,383,0,0,383,0,0,1860.291,-1,22.02438,0.6,0.6,11555.75,0.1000000000003638,11555.1,8147,-0.65,6.294171877860264e-06
11555.25,9388,7462,228,12553,12586,720,0,0,720,0,0,1860.541,-1,22.02438,0.6,0.6,11555.75,0.1000000000003638,11555.35,8147,-0.4,1.184348557465102e-05
11555.5,9389,7467,228,12585,12621,1052,0,0,1052,0,0,1860.791,-1,22.02438,0.6,0.6,11555.75,0.1000000000003638,11555.6,8147,-0.15,1.7293060950527562e-05
11555.75,9390,7471,228,12606,12639,1700,0,0,1700,0,0,1861.041,-1,22.02438,0.6,0.6,11555.75,0.1000000000003638,11555.85,8147,0.1,2.7930098586511928e-05
11556.0,9391,7463,228,12562,12583,1867,0,0,1867,0,0,1861.2915,-1,22.02438,0.6,0.6,11555.75,0.1000000000003638,11556.1,8147,0.35,3.070670098997121e-05
11556.25,9392,7458,228,12548,12569,1639,0,0,1639,0,0,1861.5415,-1,22.02438,0.6,0.6,11555.75,0.1000000000003638,11556.35,8147,0.6,2.697483881176016e-05
11556.5,9393,7465,228,12590,12587,1163,0,0,1163,0,0,1861.7915,-1,22.02438,0.6,0.6,11555.75,0.1000000000003638,11556.6,8147,0.85,1.912283097480974e-05
11556.75,9394,7464,228,12603,12593,659,0,0,659,0,0,1862.0415,-1,22.02438,0.6,0.6,11555.75,0.1000000000003638,11556.85,8147,1.1,1.0837174527910312e-05
11557.0,9395,7458,228,12567,12563,350,0,0,350,0,0,1862.2915,-1,22.02438,0.6,0.6,11555.75,0.1000000000003638,11557.1,8147,1.35,5.760337757239815e-06
11557.25,9396,7466,228,12597,12589,176,0,0,176,0,0,1862.5415,-1,22.02438,0.6,0.6,11555.75,0.1000000000003638,11557.35,8147,1.6,2.8935231804580912e-06
11557.5,9396,7460,228,12558,12554,70,0,0,70,0,0,1862.792,-1,22.02438,0.6,0.6,11555.75,0.1000000000003638,11557.6,8147,1.85,1.1517586861526686e-06
