MONO,Epoch,I0,I1,MPF_top,MPF_bot,FF1,FF2,FF3,DTC_FF1,DTC_FF2,DTC_FF3,RAMAN,pd1,tempC,Seconds,Seconds.1,emission,SHIFT,Calibrated,Concentration Sum,Energy Transfer,RIXS
11565.75,1292,7491,225,12495,12625,102,0,0,102,0,0,1871.0405,-1,22.02438,0.6,0.6,11567.0,0.2999999999992724,11566.05,8655,-0.95,1.5732339234580053e-06
11566.0,1293,7492,225,12490,12615,185,0,0,185,0,0,1871.291,-1,22.02438,0.6,0.6,11567.0,0.2999999999992724,11566.3,8655,-0.7,2.853033607502152e-06
11566.25,1294,7499,224,12522,12626,392,0,0,392,0,0,1871.5415,-1,22.02438,0.6,0.6,11567.0,0.2999999999992724,11566.55,8655,-0.45,6.0397038110762155e-06
11566.5,1295,7486,225,12478,12572,665,0,0,665,0,0,1871.792,-1,22.02438,0.6,0.6,11567.0,0.2999999999992724,11566.8,8655,-0.2,1.026371892659095e-05
11566.75,1296,7488,224,12467,12552,896,0,0,896,0,0,1872.043,-1,22.02438,0.6,0.6,11567.0,0.2999999999992724,11567.05,8655,0.05,1.3825317118211399e-05
11567.0,1297,7486,225,12472,12535,964,0,0,964,0,0,1872.2875,-1,22.02438,0.6,0.6,11567.0,0.2999999999992724,11567.3,8655,0.3,1.4878533902607032e-05
11567.25,1297,7489,225,12480,12555,823,0,0,823,0,0,1872.538,-1,22.02438,0.6,0.6,11567.0,0.2999999999992724,11567.55,8655,0.55,1.2697228417199454e-05
11567.5,1298,7485,225,12482,12548,605,0,0,605,0,0,1872.7885,-1,22.02438,0.6,0.6,11567.0,0.2999999999992724,11567.8,8655,0.8,9.338916616209505e-06
11567.75,1299,7493,225,12512,12564,348,0,0,348,0,0,1873.0395,-1,22.02438,0.6,0.6,11567.0,0.2999999999992724,11568.05,8655,1.05,5.366071302597618e-06
11568.0,1300,7493,225,12533,12577,186,0,0,186,0,0,1873.29,-1,22.02438,0.6,0.6,11567.0,0.2999999999992724,11568.3,8655,1.3,2.8680725927676924e-06
11568.25,1301,7492,225,12534,12573,72,0,0,72,0,0,1873.5405,-1,22.02438,0.6,0.6,11567.0,0.2999999999992724,11568.55,8655,1.55,1.1103698364332701e-06
11568.5,1302,7485,225,12507,12537,35,0,0,35,0,0,1873.791,-1,22.02438,0.6,0.6,11567.0,0.2999999999992724,11568.8,8655,1.8,5.402679034170787e-07
11568.75,1303,7479,225,12485,12511,19,0,0,19,0,0,1874.0415,-1,22.02438,0.6,0.6,11567.0,0.2999999999992724,11569.05,8655,2.05,2.935235798691951e-07
11569.0,1304,7490,224,12538,12584,22,0,0,22,0,0,1874.2925,-1,22.02438,0.6,0.6,11567.0,0.2999999999992724,11569.3,8655,2.3,3.393702676165949e-07
11569.25,1305,7479,225,12487,12506,18,0,0,18,0,0,1874.537,-1,22.02438,0.6,0.6,11567.0,0.2999999999992724,11569.55,8655,2.55,2.7807497040239537e-07
11569.5,1306,7479,225,12492,12518,25,0,0,25,0,0,1874.788,-1,22.02438,0.6,0.6,11567.0,0.2999999999992724,11569.8,8655,2.8,3.8621523666999354e-07
