MONO,Epoch,I0,I1,MPF_top,MPF_bot,FF1,FF2,FF3,DTC_FF1,DTC_FF2,DTC_FF3,RAMAN,pd1,tempC,Seconds,Seconds.1,emission,SHIFT,Calibrated,Concentration Sum,Energy Transfer,RIXS
11551.5,11632,7421,227,12526,12633,18,0,0,18,0,0,1856.792,-1,22.02438,0.6,0.6,11552.75,0.1000000000003638,11551.6,7897,-1.15,3.07148172390734e-07
11551.75,11633,7420,228,12515,12613,47,0,0,47,0,0,1857.042,-1,22.02438,0.6,0.6,11552.75,0.1000000000003638,11551.85,7897,-0.9,8.021060916715106e-07
11552.0,11634,7434,228,12589,12652,155,0,0,155,0,0,1857.292,-1,22.02438,0.6,0.6,11552.75,0.1000000000003638,11552.1,7897,-0.65,2.640261867644933e-06
11552.25,11635,7430,228,12548,12610,339,0,0,339,0,0,1857.5415,-1,22.02438,0.6,0.6,11552.75,0.1000000000003638,11552.35,7897,-0.4,5.777616966492037e-06
11552.5,11636,7418,228,12536,12559,683,0,0,683,0,0,1857.7915,-1,22.02438,0.6,0.6,11552.75,0.1000000000003638,11552.6,7897,-0.15,1.1659280122928075e-05
11552.75,11637,7430,228,12591,12602,1296,0,0,1296,0,0,1858.0415,-1,22.02438,0.6,0.6,11552.75,0.1000000000003638,11552.85,7897,0.1,2.2087880792252742e-05
11553.0,11638,7427,228,12593,12583,1646,0,0,1646,0,0,1858.2915,-1,22.02438,0.6,0.6,11552.75,0.1000000000003638,11553.1,7897,0.35,2.806430353750546e-05
11553.25,11639,7425,228,12580,12581,1568,0,0,1568,0,0,1858.5415,-1,22.02438,0.6,0.6,11552.75,0.1000000000003638,11553.35,7897,0.6,2.674160455596444e-05
11553.5,11640,7423,228,12582,12569,1154,0,0,1154,0,0,1858.7915,-1,22.02438,0.6,0.6,11552.75,0.1000000000003638,11553.6,7897,0.85,1.9686305041070766e-05
11553.75,11641,7422,227,12562,12558,704,0,0,704,0,0,1859.041,-1,22.02438,0.6,0.6,11552.75,0.1000000000003638,11553.85,7897,1.1,1.201128774414947e-05
11554.0,11642,7418,228,12548,12555,380,0,0,380,0,0,1859.291,-1,22.02438,0.6,0.6,11552.75,0.1000000000003638,11554.1,7897,1.35,6.486861561804785e-06
11554.25,11643,7420,228,12556,12562,161,0,0,161,0,0,1859.541,-1,22.02438,0.6,0.6,11552.75,0.1000000000003638,11554.35,7897,1.6,2.7476400161513445e-06
11554.5,11644,7431,228,12639,12626,63,0,0,63,0,0,1859.791,-1,22.02438,0.6,0.6,11552.75,0.1000000000003638,11554.6,7897,1.85,1.0735719358889424e-06
11554.75,11644,7423,228,12582,12591,21,0,0,21,0,0,1860.041,-1,22.02438,0.6,0.6,11552.75,0.1000000000003638,11554.85,7897,2.1,3.582429860160192e-07
11555.0,11645,7425,228,12585,12588,14,0,0,14,0,0,1860.291,-1,22.02438,0.6,0.6,11552.75,0.1000000000003638,11555.1,7897,2.35,2.387643263925396e-07
11555.25,11646,7421,227,12549,12566,3,0,0,3,0,0,1860.541,-1,22.02438,0.6,0.6,11552.75,0.1000000000003638,11555.35,7897,2.6,5.119136206512234e-08
11555.5,11647,7417,228,12538,12546,5,0,0,5,0,0,1860.791,-1,22.02438,0.6,0.6,11552.75,0.1000000000003638,11555.6,7897,2.85,8.536494941469437e-08
11555.75,11648,7426,228,12600,12605,16,0,0,16,0,0,1861.041,-1,22.02438,0.6,0.6,11552.75,0.1000000000003638,11555.85,7897,3.1,2.7283677018423404e-07
11556.0,11649,7424,228,12547,12582,10,0,0,10,0,0,1861.2915,-1,22.02438,0.6,0.6,11552.75,0.1000000000003638,11556.1,7897,3.35,1.705689196683158e-07
11556.25,11650,7429,228,12593,12602,8,0,0,8,0,0,1861.5415,-1,22.02438,0.6,0.6,11552.75,0.1000000000003638,11556.35,7897,3.6,1.3636329623018724e-07
11556.5,11651,7417,228,12527,12544,7,0,0,7,0,0,1861.7915,-1,22.02438,0.6,0.6,11552.75,0.1000000000003638,11556.6,7897,3.85,1.1951092918057212e-07
11556.75,11652,7421,227,12545,12552,14,0,0,14,0,0,1862.0415,-1,22.02438,0.6,0.6,11552.75,0.1000000000003638,11556.85,7897,4.1,2.3889302297057095e-07
11557.0,11653,7425,227,12562,12574,15,0,0,15,0,0,1862.2915,-1,22.02438,0.6,0.6,11552.75,0.1000000000003638,11557.1,7897,4.35,2.5581892113486387e-07
11557.25,11654,7430,228,12607,12600,27,0,0,27,0,0,1862.5415,-1,22.02438,0.6,0.6,11552.75,0.1000000000003638,11557.35,7897,4.6,4.6016418317193217e-07
11557.5,11655,7423,227,12571,12581,25,0,0,25,0,0,1862.792,-1,22.02438,0.6,0.6,11552.75,0.1000000000003638,11557.6,7897,4.85,4.2647974525716563e-07
11557.75,11656,7419,228,12550,12544,25,0,0,25,0,0,1863.042,-1,22.02438,0.6,0.6,11552.75,0.1000000000003638,11557.85,7897,5.1,4.267096844647447e-07
11558.0,11657,7429,228,12602,12585,30,0,0,30,0,0,1863.292,-1,22.02438,0.6,0.6,11552.75,0.1000000000003638,11558.1,7897,5.35,5.113623608632021e-07
11558.25,11657,7426,228,12567,12544,18,0,0,18,0,0,1863.5425,-1,22.02438,0.6,0.6,11552.75,0.1000000000003638,11558.35,7897,5.6,3.069413664572633e-07
11558.5,11658,7429,228,12555,12548,16,0,0,16,0,0,1863.7925,-1,22.02438,0.6,0.6,11552.75,0.1000000000003638,11558.6,7897,5.85,2.727265924603745e-07
11558.75,11659,7429,227,12592,12583,27,0,0,27,0,0,1864.0425,-1,22.02438,0.6,0.6,11552.75,0.1000000000003638,11558.85,7897,6.1,4.6022612477688195e-07
