Time,Epoch,I0,I1,MPF_top,MPF_bot,FF1,FF2,FF3,DTC_FF1,DTC_FF2,DTC_FF3,EMISSION,RAMAN,pd1,tempC,Seconds,Seconds
9.05991e-06,637,166346,1105,57403,57638,1442,0,0,1442,0,0,11562.309,2010.288,-1,22.02438,3,3
3.01478,640,166500,1105,57538,57755,1361,0,0,1361,0,0,11562.309,2010.288,-1,22.02438,3,3
6.03285,643,166323,1104,57480,57565,1394,0,0,1394,0,0,11562.309,2010.288,-1,22.02438,3,3
9.04945,646,166346,1103,57593,57587,1425,0,0,1425,0,0,11562.309,2010.288,-1,22.02438,3,3
12.0669,649,166500,1103,57785,57731,1368,0,0,1368,0,0,11562.309,2010.288,-1,22.02438,3,3
