Excitation,Energy Transfer,Intensity
11568.0,1.0,2.5400952456832185e-06
11568.25,1.0,5.372075290974282e-06
11568.5,1.0,8.024069054287006e-06
11568.75,1.0,1.3033669261580385e-05
11569.0,1.0,1.4635192591564578e-05
11569.25,1.0,1.5285339468479894e-05
11569.5,1.0,1.2730333055169507e-05
11569.75,1.0,8.053780302348388e-06
11570.0,1.25,4.4872453211777435e-06
11570.25,1.5,2.539418157786195e-06
11570.5,1.75,1.073694099814077e-06
11570.75,2.0,5.67971607730409e-07
11571.0,2.25,4.5765470899078466e-07
11571.25,2.5,2.838722700950026e-07
11571.5,2.75,2.8406154351152145e-07
11571.75,3.0,3.155818540433925e-07
11572.0,3.25,4.1063967395209887e-07
11572.25,3.5,3.1575025417895464e-07
11572.5,3.75,2.52465483234714e-07
11572.75,4.0,3.003233217656166e-07
11573.0,4.25,4.100923733070874e-07
11573.25,4.5,6.309954426354157e-07
11573.5,4.75,6.47288021066857e-07
11573.75,5.0,4.7394151087814255e-07
11574.0,5.25,2.999627414700069e-07
11574.25,5.5,4.104205784878054e-07
11574.5,5.75,2.0501886173527965e-07
11574.75,6.0,1.5779092702169626e-07
11575.0,6.25,2.3656022507916885e-07
11575.25,6.5,1.734312747041026e-07
11575.5,6.75,2.523981770541663e-07
11575.75,7.0,1.1048311107814157e-07
11576.0,7.25,1.1043892372535731e-07
11576.25,7.5,1.5766479518554786e-07
11576.5,7.75,4.730574094587829e-08
11576.75,8.0,2.052924390794687e-07
11577.0,8.25,7.889546351084813e-08
11577.25,8.5,2.839101045972144e-07
11577.5,8.75,2.050461866535437e-07
11577.75,9.0,2.841373235684807e-07
11578.0,9.25,2.839101045972144e-07
11578.25,9.5,1.893238692434697e-07
11578.5,9.75,2.2111367058959173e-07
11578.75,10.0,2.684593434116129e-07
11579.0,10.25,2.685668561642808e-07
11579.25,10.5,2.83947949185937e-07
11579.5,10.75,3.1579238229825804e-07
11579.75,11.0,2.6867445506498765e-07
11580.0,11.25,3.470012389521509e-07
11580.25,11.5,3.155818540433925e-07
11580.5,11.75,2.2090729783037477e-07
11580.75,12.0,2.2108416516250477e-07
11581.0,12.25,2.0518292057369144e-07
11581.25,12.5,2.8425106949464896e-07
11581.5,12.75,1.7352374672473927e-07
11581.75,13.0,4.2649042607973154e-07
11582.0,13.0,2.3690750420313395e-07
11582.25,13.0,1.7389462302017018e-07
11582.5,13.0,2.3690750420313395e-07
11567.75,1.0,5.7700646903357525e-06
11568.0,1.0,1.0906218683946592e-05
11568.25,1.0,1.689819639684367e-05
11568.5,1.0,2.548011339976825e-05
11568.75,1.0,3.080470020163119e-05
11569.0,1.0,3.030096538596448e-05
11569.25,1.0,2.445266038307817e-05
11569.5,1.0,1.5958875399251455e-05
11569.75,1.25,9.11549209587754e-06
11570.0,1.5,4.19019753568896e-06
11570.25,1.75,2.0030581573961176e-06
11570.5,2.0,7.679968185382703e-07
11570.75,2.25,6.520709435487514e-07
11571.0,2.5,2.561019848392748e-07
11571.25,2.75,3.496522079418045e-07
11571.5,3.0,4.422392996419142e-07
11571.75,3.25,3.9600651193108223e-07
11572.0,3.5,4.199211136195955e-07
11572.25,3.75,6.520709435487514e-07
11572.5,4.0,4.1890735556632927e-07
11572.75,4.25,3.9637899857224283e-07
11573.0,4.5,4.1924473061779205e-07
11573.25,4.75,7.456242169052534e-07
11573.5,5.0,6.054944475809832e-07
11573.75,5.25,6.286983178547808e-07
11574.0,5.5,4.427143787874944e-07
11574.25,5.75,3.4937060884816013e-07
11574.5,6.0,4.433096650303174e-07
11574.75,6.25,4.4289279672628564e-07
11575.0,6.5,3.032763598363745e-07
11575.25,6.75,1.164725035091418e-07
11575.5,7.0,2.5620511315531736e-07
11575.75,7.25,2.1015833959780322e-07
11576.0,7.5,1.6321488176504115e-07
11576.25,7.75,1.4001135212042993e-07
11576.5,8.0,3.029912108076499e-07
11576.75,8.25,2.0953798759577024e-07
11577.0,8.5,2.0950987678444801e-07
11577.25,8.75,3.4979317778776943e-07
11577.5,9.0,2.0959423185495576e-07
11577.75,9.25,2.7938398346102696e-07
11578.0,9.5,1.3982331646085374e-07
11578.25,9.75,2.330701621597307e-07
11578.5,10.0,3.727620531212019e-07
11578.75,10.25,3.035212008157902e-07
11579.0,10.5,3.4960524323959605e-07
11579.25,10.75,3.733134021307936e-07
11579.5,11.0,1.1669181958837896e-07
11579.75,11.25,3.03439543242259e-07
11580.0,11.5,1.8653129344576133e-07
11580.25,11.75,1.6323681630095908e-07
11580.5,12.0,2.0987590667266168e-07
11580.75,12.25,3.0315408741606683e-07
11581.0,12.5,1.398420972958384e-07
11581.25,12.75,1.6323681630095908e-07
11581.5,13.0,6.997744417042057e-08
11581.75,13.0,2.799097766816822e-07
11582.0,13.0,1.8663160605315357e-07
11582.25,13.0,1.39898470084321e-07
11566.0,1.0,3.6822524932412848e-06
11566.25,1.0,8.187236643887955e-06
11566.5,1.0,1.2444041381482476e-05
11566.75,1.0,1.7388780331142585e-05
11567.0,1.0,2.0733474352613093e-05
11567.25,1.0,2.0761568369645694e-05
11567.5,1.0,1.6020643132697918e-05
11567.75,1.0,1.0724277326170943e-05
11568.0,1.0,5.60406337763989e-06
11568.25,1.0,2.868658188100094e-06
11568.5,1.0,1.3456608532534677e-06
11568.75,1.0,5.340926786100867e-07
11569.0,1.0,3.3650503181912407e-07
11569.25,1.0,1.3861640863420223e-07
11569.5,1.25,2.5708714099165073e-07
11569.75,1.5,2.77343932626027e-07
11570.0,1.75,2.96836952923559e-07
11570.25,2.0,3.3637032203857197e-07
11570.5,2.25,4.746857224503087e-07
11570.75,2.5,3.761942980982626e-07
11571.0,2.75,3.9588827272838117e-07
11571.25,3.0,5.747284982574232e-07
11571.5,3.25,5.540956454573101e-07
11571.75,3.5,4.75955444858896e-07
11572.0,3.75,5.940703227180096e-07
11572.25,4.0,3.5644219363080576e-07
11572.5,4.25,2.572243639118491e-07
11572.75,4.5,3.761942980982626e-07
11573.0,4.75,2.1788398050421682e-07
11573.25,5.0,1.1879819939945135e-07
11573.5,5.25,7.928349287550606e-08
11573.75,5.5,1.385424009413917e-07
11574.0,5.75,1.3863492291343748e-07
11574.25,6.0,7.923053836516977e-08
11574.5,6.25,1.7857882683711184e-07
11574.75,6.5,7.925171167846882e-08
11575.0,6.75,1.3848694701172863e-07
11575.25,7.0,7.92940922729493e-08
11575.5,7.25,9.915738434560332e-08
