Time,Epoch,I0,I1,MPF_top,MPF_bot,FF1,FF2,FF3,DTC_FF1,DTC_FF2,DTC_FF3,EMISSION,RAMAN,pd1,tempC,Seconds,Seconds
6.91414e-06,527,166976,1104,57441,57111,829,0,0,829,0,0,11562.309,2010.288,-1,22.02438,3,3
3.01481,530,167052,1105,57521,57309,834,0,0,834,0,0,11562.309,2010.288,-1,22.02438,3,3
6.0332,533,167016,1105,57421,57339,866,0,0,866,0,0,11562.309,2010.288,-1,22.02438,3,3
9.05104,536,167034,1105,57451,57420,853,0,0,853,0,0,11562.309,2010.288,-1,22.02438,3,3
12.0694,539,166954,1106,57326,57351,850,0,0,850,0,0,11562.309,2010.288,-1,22.02438,3,3
