Time,Epoch,I0,I1,MPF_top,MPF_bot,FF1,FF2,FF3,DTC_FF1,DTC_FF2,DTC_FF3,EMISSION,RAMAN,pd1,tempC,Seconds,Seconds
6.91414e-06,1047,165678,1106,57447,57582,1736,0,0,1736,0,0,11562.309,2010.288,-1,22.02438,3,3
3.01541,1050,165530,1106,57316,57349,1660,0,0,1660,0,0,11562.309,2010.288,-1,22.02438,3,3
6.03537,1053,165640,1105,57510,57459,1718,0,0,1718,0,0,11562.309,2010.288,-1,22.02438,3,3
9.05263,1056,165587,1105,57470,57370,1749,0,0,1749,0,0,11562.309,2010.288,-1,22.02438,3,3
12.0704,1060,166277,1105,57632,57376,1731,0,0,1731,0,0,11562.309,2010.288,-1,22.02438,3,3
