Energy Transfer,RIXS
-1.3000000000010914,2.702678665835276e-05
-1.1499999999996362,1.3342814779874055e-06
-0.8999999999996362,3.6515003953802305e-06
-0.6499999999996362,6.710641354947322e-06
-0.3999999999996362,1.3963177952313956e-05
-0.1499999999996362,2.3696102708063532e-05
0.1000000000003638,2.5169395816939635e-05
0.3500000000003638,3.0166573602040166e-05
0.6000000000003638,2.6597638187180873e-05
0.8500000000003638,2.1900697929123823e-05
1.1000000000003638,1.5059677284368313e-05
1.3500000000003638,6.153320374110562e-06
1.6000000000003638,2.5465233874503576e-06
1.8500000000003638,6.687566918684305e-07
2.100000000000364,3.107527307212545e-07
2.350000000000364,2.979033857613502e-07
2.600000000000364,3.8773691533312094e-07
2.850000000000364,2.3529581371974277e-07
3.100000000000364,3.4606835776210646e-07
3.149999999999636,2.247477880322701e-07
3.350000000000364,1.9227930551081364e-07
3.399999999999636,4.088522731695765e-07
3.600000000000364,3.060473463156426e-07
3.850000000000364,3.5423099403120773e-07
3.9499999999989086,5.615332791706959e-07
4.100000000000364,3.6049455527048454e-07
4.350000000000364,4.996998471741869e-07
4.600000000000363,5.258696128562787e-07
4.850000000000363,5.479863095247351e-07
5.149999999999637,5.38632849982606e-07
5.399999999999636,5.516960838681031e-07
5.600000000000364,5.799624612852906e-07
5.850000000000364,3.5980484503145084e-07
6.100000000000364,4.133252274351587e-07
6.350000000000364,3.824489808646653e-07
6.600000000000364,4.1175760911885454e-07
6.649999999999636,3.4001719709835164e-07
6.850000000000364,1.8755002364068051e-07
6.899999999999636,1.4574114261444455e-07
7.100000000000364,1.707068832053891e-07
7.25,1.2469953257938954e-07
7.600000000000364,1.5663944481968297e-07
7.850000000000364,2.64901019182309e-07
8.100000000000364,1.1004265815477323e-07
8.350000000000364,1.0594793705129808e-07
