Energy Transfer,RIXS
-1.6000000000003638,9.219041084927743e-06
-1.3500000000003638,1.3615738306439152e-05
-0.9500000000007276,2.320768057302775e-06
-0.8500000000003638,1.4548099654482632e-05
-0.6000000000003638,9.737532984815823e-06
-0.4500000000007276,7.826560681136348e-06
-0.2000000000007276,6.338606547363487e-06
0.0499999999992724,1.6850350577831217e-05
0.2999999999992724,1.2770271929609135e-05
0.5499999999992724,1.5145925583740198e-05
0.7999999999992724,1.866710057304888e-05
1.0499999999992724,1.0224559742680702e-05
1.2999999999992724,5.059880643883127e-06
1.5499999999992724,2.364205688046712e-06
1.6000000000003638,1.184940760950317e-06
1.8500000000003638,7.87135775706769e-07
2.100000000000364,4.1927709856154387e-07
2.350000000000364,5.171632776734534e-07
2.600000000000364,4.4354721006213364e-07
2.850000000000364,6.744673980468454e-07
3.100000000000364,7.47763727599463e-07
3.350000000000364,1.061633630397478e-06
3.600000000000364,1.3111467900004465e-06
3.850000000000364,1.3864041511708147e-06
4.100000000000364,2.0303709320889826e-06
4.350000000000364,3.0397611203723566e-06
4.4499999999989095,3.334884841058087e-06
4.600000000000363,2.06191008752396e-06
4.850000000000363,2.7574638721093393e-06
5.100000000000363,2.6056681611605105e-06
5.350000000000363,2.7889247316262006e-06
5.600000000000364,3.156519669973728e-06
5.850000000000364,2.0712767764305274e-06
6.100000000000364,2.009810902339283e-06
6.350000000000364,1.9977384795552325e-06
6.600000000000364,1.6057670713460083e-06
6.850000000000364,1.8049784192769127e-06
7.100000000000364,1.3891078499567637e-06
7.350000000000364,1.1238834962320597e-06
7.600000000000364,7.155710635775525e-07
7.850000000000364,6.734663443438175e-07
8.100000000000364,7.940889605951221e-07
8.350000000000364,3.229400044643226e-07
8.600000000000364,5.132483880093494e-07
8.850000000000364,5.265661335634341e-07
8.899999999999636,8.3825995062608e-07
9.100000000000364,5.60994396226976e-07
9.149999999999636,5.101729506709692e-07
9.350000000000364,7.076454941528454e-07
9.600000000000364,7.076117203077066e-07
9.699999999998909,8.893340536499991e-07
9.850000000000364,6.051968017589543e-07
10.100000000000364,6.873831555436239e-07
10.350000000000364,5.14083535533815e-07
10.600000000000364,6.207894401942541e-07
10.899999999999638,5.90230411787232e-07
11.149999999999638,4.984167921758847e-07
11.350000000000366,2.9002024856926564e-07
11.600000000000366,5.353674585051888e-07
11.850000000000366,4.127169896422776e-07
12.100000000000366,3.237410241329509e-07
12.350000000000366,3.819875812898957e-07
12.399999999999634,3.0693692969503e-07
12.600000000000366,3.065285889337866e-07
12.649999999999634,2.2673876484316978e-07
12.850000000000366,3.580018423797672e-07
13.350000000000366,2.968161932917041e-07
