Energy Transfer,RIXS
3.75,4.906565538657801e-07
4.0,5.540105969761964e-07
4.25,2.7812424111814213e-07
4.5,8.799597418418108e-07
4.75,5.4816078535215e-07
5.0,7.380061669808056e-07
5.25,2.7134420663838174e-07
5.399999999999636,2.479734947330817e-07
5.649999999999636,2.4790698715772085e-07
5.799999999999272,6.353701378153128e-07
6.049999999999272,5.672865690650125e-07
6.149999999999636,5.7563977107842456e-08
6.399999999999636,2.3016343617898768e-07
6.549999999999272,5.410808536443248e-07
6.799999999999272,3.773208430229621e-07
7.049999999999272,6.051264090578547e-07
7.299999999999272,4.570627516218344e-07
7.549999999999272,5.682761003530131e-07
7.799999999999272,6.417765195535187e-07
8.049999999999272,7.771727368597619e-07
8.299999999999272,6.464066350218933e-07
8.549999999999272,6.799886645889613e-07
8.600000000000364,8.52890285259817e-07
8.850000000000364,1.0192779119760671e-06
9.100000000000364,1.171861297853481e-06
9.350000000000364,1.2731333516497673e-06
9.600000000000364,1.2799953716544328e-06
9.850000000000364,1.5030286079297258e-06
10.100000000000364,1.0334119487875842e-06
10.350000000000364,1.47291867181359e-06
10.600000000000364,1.5673535913787511e-06
10.850000000000362,1.3919699589442546e-06
11.100000000000362,1.4564397199302075e-06
11.350000000000366,1.5950199224634232e-06
11.449999999998909,1.1407178824443293e-06
11.600000000000366,1.61932809695546e-06
11.850000000000366,1.5635547466961502e-06
12.100000000000366,1.2100905960594063e-06
12.350000000000366,1.0781639166571204e-06
12.600000000000366,1.2968921762223574e-06
12.850000000000366,1.0701596678224392e-06
13.100000000000366,8.509945695804764e-07
13.350000000000366,7.807214401232554e-07
