YEAR,BRAND,MAKE,TRIM,PRICE,MILES,SHIP,PAGE,ENTRY
2016,JEEP,WRANGLER,Unlimited Sport,"25,900","24,047 miles",Shipping: $200,2,4
2019,HYUNDAI,TUCSON,Value,"20,500","19,293 miles",Shipping: $300,2,5
2018,CHEVROLET,CRUZE,LT,"15,300","13,022 miles",Free Shipping,2,6
2017,FORD,ESCAPE,Titanium,"19,400","26,394 miles",Free Shipping,2,7
2017,JEEP,COMPASS,High Altitude Edition,"16,400","35,204 miles",Free Shipping,2,8
2017,VOLKSWAGEN,GOLF ALLTRACK,TSI SE,"18,900","36,822 miles",Free Shipping,2,9
2018,CHEVROLET,EQUINOX,LT,"16,500","38,936 miles",Free Shipping,2,10
2017,NISSAN,SENTRA,SV,"13,900","10,342 miles",Shipping: $300,2,11
2017,KIA,SPORTAGE,LX,"15,400","32,318 miles",Free Shipping,2,12
2017,JEEP,WRANGLER UNLIMITE...,Sport,"27,400","23,626 miles",Free Shipping,2,13
2017,JEEP,GRAND CHEROKEE,Laredo E,"22,600","38,606 miles",Free Shipping,2,14
2017,JEEP,GRAND CHEROKEE,Limited,"26,900","21,691 miles",Free Shipping,2,15
2018,JEEP,RENEGADE,Latitude,"17,000","15,964 miles",Free Shipping,2,16
2017,INFINITI,QX50,QX50,"23,000","33,502 miles",Shipping: $300,2,17
2017,CHEVROLET,EQUINOX,LS,"16,300","24,848 miles",Free Shipping,2,18
2018,CHEVROLET,MALIBU,LT,"17,500","13,108 miles",Free Shipping,2,19
2017,HYUNDAI,TUCSON,SE Plus,"17,500","25,742 miles",Free Shipping,2,20
2017,KIA,SPORTAGE,EX,"19,900","20,774 miles",Shipping: $300,3,1
2017,BUICK,ENCORE,Preferred,"15,400","24,653 miles",Shipping: $200,3,2
2017,CHEVROLET,MALIBU,LT,"16,900","21,724 miles",Free Shipping,3,3
2015,NISSAN,LEAF,S,"11,900","42,378 miles",Shipping: $300,3,4
2018,CHEVROLET,EQUINOX,LT,"17,900","20,625 miles",Free Shipping,3,5
2016,CHEVROLET,TRAX,LT,"14,400","24,791 miles",Free Shipping,3,6
2018,BUICK,ENCORE,Preferred II,"18,900","13,482 miles",Free Shipping,3,7
2017,CHEVROLET,EQUINOX,LT,"18,000","12,825 miles",Free Shipping,3,8
2018,CHEVROLET,EQUINOX,LT,"17,600","23,893 miles",Free Shipping,3,9
2018,JEEP,COMPASS,Latitude,"18,600","14,096 miles",Free Shipping,3,10
2017,CHEVROLET,CRUZE,LT,"15,700","3,740 miles",Free Shipping,3,11
2018,BUICK,ENCORE,Sport Touring,"16,900","23,497 miles",Free Shipping,3,12
2016,CHEVROLET,CRUZE LIMITED,1LT,"12,900","32,446 miles",Free Shipping,3,13
2018,CHEVROLET,CRUZE,LT,"15,000","14,432 miles",Free Shipping,3,14
2017,GMC,TERRAIN,Denali,"20,700","45,591 miles",Free Shipping,3,15
2017,FORD,ESCAPE,SE,"14,900","43,715 miles",Free Shipping,3,16
2017,FORD,ESCAPE,Titanium,"18,900","42,454 miles",Free Shipping,3,17
2018,CHEVROLET,EQUINOX,LT,"17,900","21,882 miles",Free Shipping,3,18
2018,GMC,TERRAIN,SLE,"20,000","29,534 miles",Shipping: $300,3,19
2017,KIA,SORENTO,L,"15,900","38,266 miles",Free Shipping,3,20
2016,CHEVROLET,TRAX,LS,"14,900","17,521 miles",Shipping: $200,4,1
2017,HYUNDAI,SONATA,Sport,"16,500","16,174 miles",Shipping: $200,4,2
2016,JEEP,GRAND CHEROKEE,Laredo E,"21,500","21,311 miles",Shipping: $300,4,3
2017,HYUNDAI,ELANTRA,Limited,"13,500","28,306 miles",Free Shipping,4,4
2017,KIA,SPORTAGE,LX,"17,000","23,256 miles",Shipping: $200,4,5
2013,HYUNDAI,SONATA,GLS,"13,700","29,841 miles",Shipping: $300,4,6
2016,BMW,5 SERIES,535i XDrive,"23,500","53,746 miles",Free Shipping,4,7
2017,JEEP,PATRIOT,High Altitude Edition,"15,600","34,062 miles",Free Shipping,4,8
2018,KIA,SOUL,+,"14,000","43,695 miles",Free Shipping,4,9
2017,KIA,SPORTAGE,LX,"16,500","18,445 miles",Free Shipping,4,10
2017,GMC,ACADIA,Denali,"27,300","48,205 miles",Free Shipping,4,11
2017,CHEVROLET,CRUZE,LT,"14,900","9,215 miles",Free Shipping,4,12
2018,CHEVROLET,EQUINOX,Premier,"21,900","31,638 miles",Free Shipping,4,13
2017,BUICK,ENCORE,Essence,"16,400","39,555 miles",Free Shipping,4,14
2017,HYUNDAI,ELANTRA,SE,"13,600","19,376 miles",Free Shipping,4,15
2018,JEEP,COMPASS,Limited,"22,500","8,114 miles",Free Shipping,4,16
2017,NISSAN,SENTRA,SV,"13,300","23,147 miles",Free Shipping,4,17
2018,HYUNDAI,ELANTRA,SEL,"12,400","54,552 miles",Shipping: $300,4,18
2018,DODGE,JOURNEY,GT,"20,500","21,120 miles",Free Shipping,4,19
2018,DODGE,JOURNEY,GT,"17,600","33,392 miles",Free Shipping,4,20
2019,HYUNDAI,TUCSON,SE,"18,300","16,816 miles",Free Shipping,5,1
2017,KIA,SPORTAGE,EX,"18,800","31,194 miles",Free Shipping,5,2
2016,KIA,SOUL,Soul,"13,200","27,995 miles",Free Shipping,5,3
2018,KIA,FORTE,LX,"13,900","21,031 miles",Free Shipping,5,4
2016,HONDA,ACCORD,LX,"16,800","23,879 miles",Shipping: $200,5,5
2018,CHEVROLET,SPARK,1LT,"15,000","4,532 miles",Shipping: $200,5,6
