YEAR,BRAND,PAGE,ENTRY,PRICE,MILES,SHIPPING,dummy,CHEVROLET,FORD,HYUNDAI,TOYOTA,JEEP,VOLKSWAGEN,NISSAN,KIA,BUICK,DODGE,HONDA,GMC,SUBARU,INFINITI,MAZDA,CADILLAC,FIAT,LEXUS,BMW
2016,CHEVROLET,3,13,12900,32446,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,CHEVROLET,3,14,15000,14432,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,GMC,3,15,20700,45591,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017,FORD,3,16,14900,43715,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,FORD,3,17,18900,42454,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,CHEVROLET,3,18,17900,21882,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,GMC,3,19,20000,29534,300,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017,KIA,3,20,15900,38266,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,CHEVROLET,4,1,14900,17521,200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,HYUNDAI,4,2,16500,16174,200,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,JEEP,4,3,21500,21311,300,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,HYUNDAI,4,4,13500,28306,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,KIA,4,5,17000,23256,200,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013,HYUNDAI,4,6,13700,29841,300,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,BMW,4,7,23500,53746,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017,JEEP,4,8,15600,34062,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,KIA,4,9,14000,43695,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017,KIA,4,10,16500,18445,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2017,GMC,4,11,27300,48205,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2017,CHEVROLET,4,12,14900,9215,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,CHEVROLET,4,13,21900,31638,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,BUICK,4,14,16400,39555,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2017,HYUNDAI,4,15,13600,19376,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,JEEP,4,16,22500,8114,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,NISSAN,4,17,13300,23147,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2018,HYUNDAI,4,18,12400,54552,300,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,DODGE,4,19,20500,21120,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2018,DODGE,4,20,17600,33392,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019,HYUNDAI,5,1,18300,16816,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,KIA,5,2,18800,31194,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,KIA,5,3,13200,27995,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2018,KIA,5,4,13900,21031,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,HONDA,5,5,16800,23879,200,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2018,CHEVROLET,5,6,15000,4532,200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,CHEVROLET,5,7,15000,5043,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,TOYOTA,5,8,21300,20390,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,BMW,5,9,26300,22008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
